Instance,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance
2DU100-05-1.dat,0.125,0.1,0.7,500,true,2.087,8212.4534,0.4000
2DU100-05-1.dat,0.125,0.1,0.7,1000,true,0.969,8168.6507,0.3780
2DU100-05-1.dat,0.125,0.1,0.7,5000,true,1.072,8168.6507,0.3842
2DU100-05-1.dat,0.125,0.1,0.8,500,true,1.129,8212.4534,0.4000
2DU100-05-1.dat,0.125,0.1,0.8,1000,true,0.900,8168.6507,0.3780
2DU100-05-1.dat,0.125,0.1,0.8,5000,true,1.028,8168.6507,0.3842
2DU100-05-1.dat,0.125,0.1,0.9,500,true,1.061,8212.4534,0.4000
2DU100-05-1.dat,0.125,0.1,0.9,1000,true,0.841,8168.6507,0.3780
2DU100-05-1.dat,0.125,0.1,0.9,5000,true,1.100,8168.6507,0.3842
2DU100-05-1.dat,0.125,0.2,0.7,500,true,1.041,7977.4826,0.4500
2DU100-05-1.dat,0.125,0.2,0.7,1000,true,0.882,7305.0821,0.1930
2DU100-05-1.dat,0.125,0.2,0.7,5000,true,1.003,7308.2438,0.2052
2DU100-05-1.dat,0.125,0.2,0.8,500,true,1.105,7977.4826,0.4500
2DU100-05-1.dat,0.125,0.2,0.8,1000,true,0.942,7305.0821,0.1930
2DU100-05-1.dat,0.125,0.2,0.8,5000,true,1.235,7308.2438,0.2052
2DU100-05-1.dat,0.125,0.2,0.9,500,true,1.201,7977.4826,0.4500
2DU100-05-1.dat,0.125,0.2,0.9,1000,true,0.927,7305.0821,0.1930
2DU100-05-1.dat,0.125,0.2,0.9,5000,true,1.221,7308.2438,0.2052
2DU100-05-1.dat,0.125,0.3,0.7,500,true,0.932,7201.5041,0.1980
2DU100-05-1.dat,0.125,0.3,0.7,1000,true,1.078,7201.5041,0.2030
2DU100-05-1.dat,0.125,0.3,0.7,5000,true,1.065,7201.5041,0.2094
2DU100-05-1.dat,0.125,0.3,0.8,500,true,0.800,7201.5041,0.1980
2DU100-05-1.dat,0.125,0.3,0.8,1000,true,0.815,7201.5041,0.2030
2DU100-05-1.dat,0.125,0.3,0.8,5000,true,0.967,7201.5041,0.2094
2DU100-05-1.dat,0.125,0.3,0.9,500,true,1.086,7201.5041,0.1980
2DU100-05-1.dat,0.125,0.3,0.9,1000,true,0.843,7201.5041,0.2030
2DU100-05-1.dat,0.125,0.3,0.9,5000,true,0.935,7201.5041,0.2094
2DU100-05-1.dat,0.250,0.1,0.7,500,true,1.823,8279.3078,0.3920
2DU100-05-1.dat,0.250,0.1,0.7,1000,true,1.532,7542.3957,0.6950
2DU100-05-1.dat,0.250,0.1,0.7,5000,true,2.308,8264.0816,0.4118
2DU100-05-1.dat,0.250,0.1,0.8,500,true,1.780,8279.3078,0.3920
2DU100-05-1.dat,0.250,0.1,0.8,1000,true,2.018,7701.9787,0.6570
2DU100-05-1.dat,0.250,0.1,0.8,5000,true,2.284,8264.0816,0.4118
2DU100-05-1.dat,0.250,0.1,0.9,500,true,1.715,8279.3078,0.3920
2DU100-05-1.dat,0.250,0.1,0.9,1000,true,0.984,7514.7386,0.0430
2DU100-05-1.dat,0.250,0.1,0.9,5000,true,2.397,8264.0816,0.4118
2DU100-05-1.dat,0.250,0.2,0.7,500,true,1.511,8038.5657,0.6600
2DU100-05-1.dat,0.250,0.2,0.7,1000,true,0.799,7350.1482,0.6480
2DU100-05-1.dat,0.250,0.2,0.7,5000,true,0.933,8081.4539,0.6890
2DU100-05-1.dat,0.250,0.2,0.8,500,true,1.518,8038.5657,0.6600
2DU100-05-1.dat,0.250,0.2,0.8,1000,true,0.878,7350.1482,0.6480
2DU100-05-1.dat,0.250,0.2,0.8,5000,true,1.122,8081.4539,0.6890
2DU100-05-1.dat,0.250,0.2,0.9,500,true,1.303,7386.1203,0.4840
2DU100-05-1.dat,0.250,0.2,0.9,1000,true,0.826,7272.2718,0.1040
2DU100-05-1.dat,0.250,0.2,0.9,5000,true,0.883,8081.4539,0.6890
2DU100-05-1.dat,0.250,0.3,0.7,500,true,1.287,7264.8408,0.6880
2DU100-05-1.dat,0.250,0.3,0.7,1000,true,0.845,7236.9050,0.3220
2DU100-05-1.dat,0.250,0.3,0.7,5000,true,0.783,7241.2314,0.5190
2DU100-05-1.dat,0.250,0.3,0.8,500,true,1.335,7264.8408,0.6880
2DU100-05-1.dat,0.250,0.3,0.8,1000,true,0.879,7236.9050,0.3220
2DU100-05-1.dat,0.250,0.3,0.8,5000,true,0.816,7241.2314,0.5190
2DU100-05-1.dat,0.250,0.3,0.9,500,true,1.253,7167.3670,0.0780
2DU100-05-1.dat,0.250,0.3,0.9,1000,true,0.927,7241.2314,0.4930
2DU100-05-1.dat,0.250,0.3,0.9,5000,true,0.818,7241.2314,0.5190
