
============================================================
处理日期: 2021-12-18
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 162/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20211218.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20211218.csv

进度: 2.0202% (400/19800) [Region:28, Point:2828] 已用: 0.0s, 剩余: 0.0s
进度: 1.5152% (300/19800) [Region:44, Point:1566] 已用: 0.0s, 剩余: 0.0s
进度: 1.0101% (200/19800) [Region:15, Point:3305] 已用: 0.0s, 剩余: 0.0s
进度: 8.0808% (1600/19800) [Region:15, Point:2998] 已用: 0.0s, 剩余: 0.0s
进度: 2.5253% (500/19800) [Region:60, Point:1257] 已用: 0.0s, 剩余: 0.0s
进度: 9.5960% (1900/19800) [Region:133, Point:420] 已用: 0.0s, 剩余: 0.0s
进度: 10.1010% (2000/19800) [Region:107, Point:478] 已用: 0.0s, 剩余: 0.0s
进度: 9.0909% (1800/19800) [Region:96, Point:1011] 已用: 0.0s, 剩余: 0.0s
进度: 11.1111% (2200/19800) [Region:61, Point:1600] 已用: 0.0s, 剩余: 0.0s
进度: 11.6162% (2300/19800) [Region:71, Point:2171] 已用: 0.0s, 剩余: 0.0s
进度: 8.5859% (1700/19800) [Region:100, Point:3051] 已用: 0.0s, 剩余: 0.0s
进度: 7.5758% (1500/19800) [Region:56, Point:3801] 已用: 0.0s, 剩余: 0.0s
进度: 7.0707% (1400/19800) [Region:83, Point:940] 已用: 0.0s, 剩余: 0.0s
进度: 6.5657% (1300/19800) [Region:183, Point:101] 已用: 0.0s, 剩余: 0.0s
进度: 6.0606% (1200/19800) [Region:44, Point:3676] 已用: 0.0s, 剩余: 0.0s
进度: 5.5556% (1100/19800) [Region:41, Point:338] 已用: 0.0s, 剩余: 0.0s
进度: 5.0505% (1000/19800) [Region:103, Point:2944] 已用: 0.0s, 剩余: 0.0s
进度: 14.1414% (2800/19800) [Region:103, Point:3066] 已用: 0.0s, 剩余: 0.0s
进度: 4.5455% (900/19800) [Region:38, Point:21] 已用: 0.0s, 剩余: 0.0s
进度: 4.0404% (800/19800) [Region:28, Point:3097] 已用: 0.0s, 剩余: 0.0s
