
============================================================
处理日期: 2022-01-10
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 150/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20220110.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20220110.csv
进度: 3.0303% (600/19800) [Region:7, Point:1549] 已用: 0.0s, 剩余: 0.0s
进度: 2.5253% (500/19800) [Region:182, Point:1564] 已用: 0.0s, 剩余: 0.0s
进度: 6.0606% (1200/19800) [Region:182, Point:1525] 已用: 0.0s, 剩余: 0.0s
进度: 2.0202% (400/19800) [Region:4, Point:126] 已用: 0.0s, 剩余: 0.0s
进度: 9.0909% (1800/19800) [Region:4, Point:1083] 已用: 0.0s, 剩余: 0.0s
进度: 1.5152% (300/19800) [Region:3, Point:3912] 已用: 0.0s, 剩余: 0.0s
进度: 9.5960% (1900/19800) [Region:3, Point:3928] 已用: 0.0s, 剩余: 0.0s
进度: 0.5051% (100/19800) [Region:65, Point:2027] 已用: 0.0s, 剩余: 0.0s
进度: 11.6162% (2300/19800) [Region:181, Point:1531] 已用: 0.0s, 剩余: 0.0s
进度: 7.0707% (1400/19800) [Region:32, Point:508] 已用: 0.0s, 剩余: 0.1s
进度: 11.1111% (2200/19800) [Region:5, Point:3113] 已用: 0.0s, 剩余: 0.0s
进度: 10.6061% (2100/19800) [Region:3, Point:355] 已用: 0.0s, 剩余: 0.0s
进度: 12.6263% (2500/19800) [Region:185, Point:2700] 已用: 0.0s, 剩余: 0.1s
进度: 10.1010% (2000/19800) [Region:26, Point:1357] 已用: 0.0s, 剩余: 0.0s
进度: 8.5859% (1700/19800) [Region:91, Point:1501] 已用: 0.0s, 剩余: 0.0s
进度: 8.0808% (1600/19800) [Region:30, Point:2226] 已用: 0.0s, 剩余: 0.0s
进度: 7.5758% (1500/19800) [Region:45, Point:3397] 已用: 0.0s, 剩余: 0.0s
进度: 6.5657% (1300/19800) [Region:165, Point:2718] 已用: 0.0s, 剩余: 0.0s
进度: 13.6364% (2700/19800) [Region:133, Point:384] 已用: 0.0s, 剩余: 0.1s
进度: 5.5556% (1100/19800) [Region:22, Point:3887] 已用: 0.0s, 剩余: 0.0s
进度: 14.6465% (2900/19800) [Region:22, Point:1958] 已用: 0.0s, 剩余: 0.1s
进度: 15.1515% (3000/19800) [Region:35, Point:1833] 已用: 0.0s, 剩余: 0.1s
进度: 15.6566% (3100/19800) [Region:43, Point:1422] 已用: 0.0s, 剩余: 0.1s
进度: 5.0505% (1000/19800) [Region:7, Point:1535] 已用: 0.0s, 剩余: 0.0s
进度: 16.1616% (3200/19800) [Region:48, Point:2345] 已用: 0.0s, 剩余: 0.1s
进度: 4.5455% (900/19800) [Region:0, Point:475] 已用: 0.0s, 剩余: 0.0s
进度: 16.6667% (3300/19800) [Region:0, Point:463] 已用: 0.0s, 剩余: 0.1s
进度: 4.0404% (800/19800) [Region:16, Point:1355] 已用: 0.0s, 剩余: 0.0s
进度: 3.5354% (700/19800) [Region:40, Point:2822] 已用: 0.0s, 剩余: 0.0s
进度: 17.1717% (3400/19800) [Region:16, Point:1322] 已用: 0.0s, 剩余: 0.1s
进度: 18.1818% (3600/19800) [Region:36, Point:770] 已用: 0.0s, 剩余: 0.1s
进度: 14.1414% (2800/19800) [Region:92, Point:1547] 已用: 0.0s, 剩余: 0.1s
进度: 13.1313% (2600/19800) [Region:186, Point:1948] 已用: 0.0s, 剩余: 0.1s
进度: 12.1212% (2400/19800) [Region:66, Point:2669] 已用: 0.0s, 剩余: 0.1s
进度: 19.1919% (3800/19800) [Region:92, Point:3414] 已用: 0.0s, 剩余: 0.1s
进度: 18.6869% (3700/19800) [Region:41, Point:3255] 已用: 0.0s, 剩余: 0.1s
进度: 17.6768% (3500/19800) [Region:8, Point:567] 已用: 0.0s, 剩余: 0.1s
进度: 20.2020% (4000/19800) [Region:88, Point:2263] 已用: 0.0s, 剩余: 0.1s
进度: 20.7071% (4100/19800) [Region:88, Point:2903] 已用: 0.0s, 剩余: 0.1s
进度: 19.6970% (3900/19800) [Region:66, Point:2920] 已用: 0.0s, 剩余: 0.1s
进度: 22.2222% (4400/19800) [Region:23, Point:3240] 已用: 0.0s, 剩余: 0.1s
进度: 21.2121% (4200/19800) [Region:36, Point:362] 已用: 0.0s, 剩余: 0.1s
进度: 21.7172% (4300/19800) [Region:42, Point:3287] 已用: 0.0s, 剩余: 0.1s
进度: 22.7273% (4500/19800) [Region:89, Point:1479] 已用: 0.0s, 剩余: 0.1s
进度: 23.2323% (4600/19800) [Region:67, Point:1747] 已用: 0.0s, 剩余: 0.1s
进度: 23.7374% (4700/19800) [Region:49, Point:5] 已用: 0.0s, 剩余: 0.1s
