
============================================================
处理日期: 2022-06-10
============================================================
N=671, K=30
使用 xi 向量过滤，可访问的点数: 130/671
日志文件: output/travel_dist_dual_values_filtered_by_date/log_p30_20220610.txt
开始并行求解...
进度: 3.0030% (100/3330) [Region:9, Point:206] 已用: 0.0s, 剩余: 0.1s
进度: 6.0060% (200/3330) [Region:25, Point:178] 已用: 0.0s, 剩余: 0.1s
进度: 9.0090% (300/3330) [Region:9, Point:435] 已用: 0.0s, 剩余: 0.1s
进度: 12.0120% (400/3330) [Region:9, Point:462] 已用: 0.0s, 剩余: 0.1s
进度: 15.0150% (500/3330) [Region:20, Point:518] 已用: 0.0s, 剩余: 0.1s
进度: 18.0180% (600/3330) [Region:25, Point:640] 已用: 0.0s, 剩余: 0.1s
进度: 21.0210% (700/3330) [Region:18, Point:509] 已用: 0.0s, 剩余: 0.1s
进度: 24.0240% (800/3330) [Region:10, Point:337] 已用: 0.0s, 剩余: 0.1s
进度: 27.0270% (900/3330) [Region:8, Point:316] 已用: 0.0s, 剩余: 0.1s
进度: 30.0300% (1000/3330) [Region:10, Point:292] 已用: 0.0s, 剩余: 0.1s
进度: 33.0330% (1100/3330) [Region:8, Point:292] 已用: 0.0s, 剩余: 0.1s
进度: 36.0360% (1200/3330) [Region:7, Point:219] 已用: 0.0s, 剩余: 0.1s
进度: 39.0390% (1300/3330) [Region:20, Point:307] 已用: 0.1s, 剩余: 0.1s
进度: 42.0420% (1400/3330) [Region:11, Point:428] 已用: 0.1s, 剩余: 0.1s
进度: 45.0450% (1500/3330) [Region:10, Point:346] 已用: 0.1s, 剩余: 0.1s
进度: 51.0511% (1700/3330) [Region:12, Point:638] 已用: 0.1s, 剩余: 0.1s
进度: 48.0480% (1600/3330) [Region:16, Point:75] 已用: 0.1s, 剩余: 0.1s
进度: 54.0541% (1800/3330) [Region:13, Point:253] 已用: 0.1s, 剩余: 0.1s
进度: 60.0601% (2000/3330) [Region:26, Point:369] 已用: 0.2s, 剩余: 0.1s
进度: 57.0571% (1900/3330) [Region:16, Point:66] 已用: 0.2s, 剩余: 0.1s
进度: 63.0631% (2100/3330) [Region:5, Point:470] 已用: 0.2s, 剩余: 0.1s
进度: 66.0661% (2200/3330) [Region:16, Point:266] 已用: 0.2s, 剩余: 0.1s
进度: 69.0691% (2300/3330) [Region:0, Point:145] 已用: 0.3s, 剩余: 0.1s
进度: 72.0721% (2400/3330) [Region:5, Point:424] 已用: 0.4s, 剩余: 0.1s
进度: 75.0751% (2500/3330) [Region:0, Point:368] 已用: 0.4s, 剩余: 0.1s
进度: 78.0781% (2600/3330) [Region:6, Point:237] 已用: 0.6s, 剩余: 0.2s
进度: 81.0811% (2700/3330) [Region:6, Point:205] 已用: 0.8s, 剩余: 0.2s
进度: 84.0841% (2800/3330) [Region:21, Point:52] 已用: 1.1s, 剩余: 0.2s
进度: 87.0871% (2900/3330) [Region:28, Point:581] 已用: 1.2s, 剩余: 0.2s
进度: 90.0901% (3000/3330) [Region:14, Point:546] 已用: 1.9s, 剩余: 0.2s
进度: 93.0931% (3100/3330) [Region:23, Point:560] 已用: 2.3s, 剩余: 0.2s
进度: 96.0961% (3200/3330) [Region:14, Point:526] 已用: 2.7s, 剩余: 0.1s
