PointID,Region_0,Region_1,Region_2
0,5764.4404417610,2217.9066208906,8683.7443542075
1,0,0,0
2,0,0,0
3,0,0,0
4,693.9971243941,6276.0943035727,6068.2522053233
5,0,0,0
6,55.3137676764,6116.8020734687,5037.0904488170
7,0,0,0
8,0,0,0
9,22.0640755861,3081.3382524500,3223.3047183789
10,3577.5446985235,963.5653423291,4398.1276310643
11,0,0,0
12,2561.9478132749,4620.7317807315,2728.7999330626
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,4159.5230636344,7665.0588790224,1862.5012777645
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,8576.6534806683,3129.1978585025,8170.7055527794
29,0,0,0
30,0,0,0
31,0.0000000000,3206.3904912472,4442.2631079558
32,0,0.0000000000,0
33,0,0,0
34,0,0,0
35,0,0,0.0000000000
36,0,0,0
