序号,经度,纬度
1,113.854851999999994,22.907048880000001
2,113.854169900000002,22.911716760000001
3,113.768762600000002,23.013112329999998
4,113.744620800000007,23.018408409999999
5,114.060793200000006,23.046257069999999
6,114.000392000000005,23.050618010000001
7,113.992279999999994,23.027718010000001
8,113.973289500000007,23.037092240000000
9,113.957205799999997,23.030284850000001
10,113.840906099999998,23.113767520000000
11,113.837107700000004,23.046865019999998
12,113.830183399999996,22.812036570000000
13,113.824409000000003,23.110841000000001
14,113.797618299999996,22.995616389999999
15,113.796271000000004,23.049194010000001
16,113.793741299999994,23.040980820000001
17,113.779672300000001,23.040181390000001
18,113.768064499999994,23.013049310000000
19,113.766557599999999,23.024908839999998
20,113.752102399999998,23.026769860000002
21,113.751851599999995,23.027848899999999
22,113.751422399999996,23.020192720000001
23,113.731977999999998,23.037672170000000
24,113.730130099999997,23.019688420000001
25,113.718048999999993,22.834496000000001
26,113.709926999999993,23.066144399999999
27,113.688698400000007,22.815666690000000
28,113.684928999999997,22.760984000000001
29,113.683214000000007,22.820983580000000
30,113.683007399999994,22.820207780000000
31,113.678871599999994,22.820850960000001
32,113.677116999999996,22.959530999999998
33,113.665647600000000,22.938279179999999
34,113.664846499999996,22.930218239999999
35,114.022182500000000,23.071287699999999
36,113.997176699999997,22.987691620000000
37,113.997173799999999,23.020995150000001
38,113.965110699999997,23.047843749999998
39,113.944972199999995,22.936698490000001
40,113.940372199999999,22.925729019999999
41,113.908072899999993,22.941624550000000
42,113.886391200000006,23.113734820000001
43,113.869771000000000,23.057036320000002
44,113.865289000000004,22.908140000000000
45,113.864090700000006,22.907178389999999
46,113.863636000000000,22.906407009999999
47,113.862824399999994,22.907608180000000
48,113.861132100000006,22.907089289999998
49,113.860091499999996,23.114117820000001
50,113.843294200000003,23.014940540000001
51,113.841216700000004,23.019580410000000
52,113.839646599999995,23.015607679999999
53,113.796482999999995,22.786425999999999
54,113.780096999999998,23.036538610000001
55,113.772098400000004,23.042921239999998
56,113.750977000000006,23.019086040000001
57,113.742673499999995,23.020832179999999
58,113.726800999999995,22.996160180000000
59,113.722784000000004,23.041093040000000
60,113.701492999999999,22.974557999999998
61,113.698973499999994,22.957428790000002
62,113.690992800000004,22.817192870000000
63,113.690221600000001,22.837038790000001
64,113.680989400000001,22.826376419999999
65,113.680685299999993,22.827011630000001
66,113.673658300000000,22.939279150000001
67,113.668065400000003,22.939047460000001
68,113.668060499999996,22.884647370000000
69,114.035126399999996,22.964390760000001
70,114.024116800000002,23.071120690000001
71,114.012505800000000,22.977006440000000
72,114.003436500000007,23.058007620000001
73,114.001009300000007,22.980746450000002
74,113.968108299999997,22.930555170000002
75,113.919263700000002,22.939125980000000
76,113.902129599999995,22.982388130000000
77,113.861139600000001,23.117281450000000
78,113.860423900000001,22.907969869999999
79,113.823321500000006,23.116169690000000
80,113.799642000000006,22.997247999999999
81,113.789029999999997,23.048910370000002
82,113.777189899999996,23.035934059999999
83,113.747801699999997,23.026298449999999
84,113.747107299999996,23.014945579999999
85,113.745439000000005,22.822136000000000
86,113.745012299999999,23.025058240000000
87,113.741765599999994,23.008210460000001
88,113.741433999999998,23.016770000000001
89,113.729144500000004,23.086643899999999
90,113.718094100000002,22.983908499999998
91,113.716080700000006,22.849976710000000
92,113.713666700000005,23.015966599999999
93,113.697808400000000,22.793615110000001
94,113.682903499999995,22.841961970000000
95,113.664603999999997,22.822478090000001
96,114.104844700000001,23.020941789999998
97,114.035766699999996,22.965125170000000
98,114.034039500000006,23.014878289999999
99,114.033507999999998,22.966158000000000
100,114.011873699999995,23.068631350000000
