idx,i,j,value
0,0,0,4014.538041
1,0,1,4084.539666
2,0,2,3377.497116
3,1,0,130.042457
4,1,1,323.704230
5,1,2,288.660597
6,2,0,0.000000
7,2,1,0.000000
8,2,2,0.000000
9,3,0,0.000000
10,3,1,0.000000
11,3,2,0.000000
12,4,0,580.941613
13,4,1,8512.750513
14,4,2,6700.438003
15,5,0,90.640965
16,5,1,4694.073343
17,5,2,3897.322784
18,6,0,0.000000
19,6,1,0.000000
20,6,2,0.000000
21,7,0,382.582676
22,7,1,2719.270245
23,7,2,2159.828984
24,8,0,312.255748
25,8,1,769.499339
26,8,2,773.939466
27,9,0,1115.406011
28,9,1,3787.928076
29,9,2,4037.729659
30,10,0,858.022818
31,10,1,3706.390174
32,10,2,3435.751183
33,11,0,0.000000
34,11,1,0.000000
35,11,2,0.000000
36,12,0,1332.335395
37,12,1,1239.138655
38,12,2,1782.831184
39,13,0,187.848576
40,13,1,276.385651
41,13,2,347.353210
42,14,0,426.567981
43,14,1,1801.873377
44,14,2,1885.488865
45,15,0,537.802627
46,15,1,125.286283
47,15,2,255.110718
48,16,0,164.227877
49,16,1,196.369031
50,16,2,88.597456
51,17,0,161.886136
52,17,1,321.542320
53,17,2,229.858561
54,18,0,57.393569
55,18,1,31.597866
56,18,2,0.000000
57,19,0,31.152396
58,19,1,351.252092
59,19,2,301.060652
60,20,0,433.840809
61,20,1,1377.526967
62,20,2,1489.227432
63,21,0,0.000000
64,21,1,0.000000
65,21,2,0.000000
66,22,0,771.520141
67,22,1,434.193710
68,22,2,394.105710
69,23,0,26.181559
70,23,1,47.321211
71,23,2,23.385524
72,24,0,184.236848
73,24,1,450.489602
74,24,2,465.859406
75,25,0,1383.896901
76,25,1,537.182808
77,25,2,996.124313
78,26,0,1610.164382
79,26,1,121.871627
80,26,2,451.802185
81,27,0,17.985871
82,27,1,117.346382
83,27,2,120.430259
84,28,0,187.562138
85,28,1,356.749931
86,28,2,459.264517
87,29,0,68.088032
88,29,1,0.608018
89,29,2,4.255406
90,30,0,14.249705
91,30,1,24.045767
92,30,2,28.383768
93,31,0,4422.179686
94,31,1,745.498408
95,31,2,982.566524
96,32,0,0.000000
97,32,1,0.000000
98,32,2,0.000000
99,33,0,227.337388
100,33,1,30.335590
101,33,2,99.082860
102,34,0,52.089220
103,34,1,88.517150
104,34,2,120.253600
105,35,0,635.805438
106,35,1,281.123225
107,35,2,480.924888
108,36,0,27.264021
109,36,1,2.710066
110,36,2,11.494263
111,37,0,51.724599
112,37,1,40.006737
113,37,2,68.907109
114,38,0,57.699409
115,38,1,446.233506
116,38,2,413.666570
117,39,0,1552.146306
118,39,1,0.000000
119,39,2,527.121815
120,40,0,146.383296
121,40,1,39.016425
122,40,2,46.419448
123,41,0,8.563728
124,41,1,21.524247
125,41,2,15.766273
126,42,0,208.073829
127,42,1,77.679748
128,42,2,96.646186
129,43,0,367.988288
130,43,1,303.800998
131,43,2,290.470353
132,44,0,21.242510
133,44,1,34.308745
134,44,2,40.953640
135,45,0,248.095761
136,45,1,17.433643
137,45,2,29.365234
138,46,0,0.000000
139,46,1,0.000000
140,46,2,0.000000
