idx,i,j,value
0,0,0,10880064.607153
1,0,1,14468722.581517
2,0,2,21609954.328997
3,1,0,385970.034150
4,1,1,2747250.997650
5,1,2,2526606.415251
6,2,0,0.000000
7,2,1,0.000000
8,2,2,0.000000
9,3,0,0.000000
10,3,1,0.000000
11,3,2,0.000000
12,4,0,161339.375753
13,4,1,34943771.815891
14,4,2,26250778.937468
15,5,0,18015.315401
16,5,1,37397480.297763
17,5,2,27737285.820969
18,6,0,0.000000
19,6,1,0.000000
20,6,2,0.000000
21,7,0,523670.638145
22,7,1,28066486.888885
23,7,2,18082645.929551
24,8,0,1373031.809486
25,8,1,6548192.537011
26,8,2,6462130.619589
27,9,0,3685117.264523
28,9,1,35651274.958866
29,9,2,42912396.893944
30,10,0,1726561.084090
31,10,1,22699813.953691
32,10,2,22505329.186970
33,11,0,0.000000
34,11,1,0.000000
35,11,2,0.000000
36,12,0,6285706.248133
37,12,1,7594940.667770
38,12,2,16133874.699927
39,13,0,1089471.354393
40,13,1,2374263.146541
41,13,2,4062532.741350
42,14,0,1398559.163532
43,14,1,15057023.937438
44,14,2,17144449.183513
45,15,0,4726105.210103
46,15,1,677327.540991
47,15,2,2317210.582623
48,16,0,791205.828156
49,16,1,1642356.871398
50,16,2,576128.391526
51,17,0,1496225.252185
52,17,1,6135847.960940
53,17,2,3145281.295174
54,18,0,865760.252196
55,18,1,258092.901102
56,18,2,0.000000
57,19,0,54919.791740
58,19,1,4284997.879181
59,19,2,3378012.014921
60,20,0,2243520.755873
61,20,1,17421585.426040
62,20,2,21328299.675813
63,21,0,0.000000
64,21,1,0.000000
65,21,2,0.000000
66,22,0,3504325.271434
67,22,1,2660842.543234
68,22,2,2842721.298116
69,23,0,177443.743998
70,23,1,588497.602277
71,23,2,141905.988310
72,24,0,1031170.865643
73,24,1,5275948.027814
74,24,2,5852460.188572
75,25,0,15199239.779402
76,25,1,2558412.538634
77,25,2,9834193.455837
78,26,0,13238533.495917
79,26,1,262554.833195
80,26,2,2002709.545651
81,27,0,53715.105028
82,27,1,1602890.511647
83,27,2,1883442.315395
84,28,0,1451833.049682
85,28,1,5279619.448558
86,28,2,8980087.192258
87,29,0,613271.413521
88,29,1,58.534761
89,29,2,2490.462893
90,30,0,105182.019205
91,30,1,299507.035863
92,30,2,417320.643719
93,31,0,40061770.933328
94,31,1,1919677.919623
95,31,2,5701259.780933
96,32,0,0.000000
97,32,1,0.000000
98,32,2,0.000000
99,33,0,2668231.736354
100,33,1,87703.622991
101,33,2,983962.644365
102,34,0,188061.813890
103,34,1,605939.862365
104,34,2,1365047.713285
105,35,0,6925458.384004
106,35,1,1592008.643514
107,35,2,4649938.478421
108,36,0,385043.298339
109,36,1,3804.427826
110,36,2,68437.167711
111,37,0,466647.301740
112,37,1,308446.030248
113,37,2,1033089.253982
114,38,0,93680.163558
115,38,1,3251256.485068
116,38,2,3026706.991286
117,39,0,20497064.270021
118,39,1,0.000000
119,39,2,3807266.238769
120,40,0,1237895.761715
121,40,1,232569.693683
122,40,2,398059.027915
123,41,0,37988.795531
124,41,1,239985.880293
125,41,2,128762.042109
126,42,0,1944700.878917
127,42,1,330602.237225
128,42,2,463727.668718
129,43,0,1714925.503043
130,43,1,1137073.959389
131,43,2,976461.266666
132,44,0,154097.196102
133,44,1,334075.559430
134,44,2,434392.227478
135,45,0,2437237.831859
136,45,1,45672.482220
137,45,2,54338.275247
138,46,0,0.000000
139,46,1,0.000000
140,46,2,0.000000
