InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG100-6-1.dat,100,6,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,0.849,16521.0650,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,0.435,16509.8542,0.9770,true,-1,1
GG100-6-1.dat,100,6,0.125,0.5,0.4,1000,false,2.00,4.00,false,false,1.707,16601.3288,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.4,1000,false,2.00,4.00,false,true,0.439,16521.0650,1.0000,true,-1,7
GG100-6-1.dat,100,6,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,0.675,16521.0650,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,0.371,16509.8542,0.9770,true,-1,1
GG100-6-1.dat,100,6,0.125,0.5,0.3,1000,false,2.00,4.00,false,false,0.931,16618.6303,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.3,1000,false,2.00,4.00,false,true,1.366,16538.3317,1.0000,true,-1,35
GG100-6-1.dat,100,6,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,1.656,16538.3317,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,0.411,16521.0650,1.0000,true,-1,7
GG100-6-1.dat,100,6,0.125,0.5,0.2,1000,false,2.00,4.00,false,false,2.042,16655.6176,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.2,1000,false,2.00,4.00,false,true,1.393,16538.3666,1.0000,true,-1,36
GG100-6-1.dat,100,6,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,0.780,16538.3317,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,0.395,16521.0650,1.0000,true,-1,7
GG100-6-1.dat,100,6,0.125,0.5,0.1,1000,false,2.00,4.00,false,false,1.528,16857.2458,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.5,0.1,1000,false,2.00,4.00,false,true,28.782,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,1.797,16618.6303,0.9980,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,1.346,16538.3666,0.9960,true,-1,36
GG100-6-1.dat,100,6,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,0.881,16803.8822,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.4,1000,false,2.00,4.00,false,true,28.328,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,0.785,16618.6303,0.9980,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,1.363,16538.3666,0.9960,true,-1,36
GG100-6-1.dat,100,6,0.125,0.4,0.3,1000,false,2.00,4.00,false,false,1.795,16820.7085,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.3,1000,false,2.00,4.00,false,true,28.357,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,0.967,16766.8949,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,1.371,16538.3666,0.9960,true,-1,36
GG100-6-1.dat,100,6,0.125,0.4,0.2,1000,false,2.00,4.00,false,false,0.955,16874.0720,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.2,1000,false,2.00,4.00,false,true,28.501,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.4,0.1,1000,true,0.00,0.00,false,false,0.926,16803.8822,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.1,1000,true,0.00,0.00,false,true,28.333,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.4,0.1,1000,false,2.00,4.00,false,false,5.111,17137.3228,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.4,0.1,1000,false,2.00,4.00,false,true,28.546,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.3,0.4,1000,true,0.00,0.00,false,false,0.688,16820.7085,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.3,0.4,1000,true,0.00,0.00,false,true,28.401,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.3,0.4,1000,false,2.00,4.00,false,false,2.143,16968.4475,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.3,0.4,1000,false,2.00,4.00,false,true,29.208,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.3,0.3,1000,true,0.00,0.00,false,false,0.626,16820.7085,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.3,0.3,1000,true,0.00,0.00,false,true,28.740,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.3,0.3,1000,false,2.00,4.00,false,false,3.139,16968.4475,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.3,0.3,1000,false,2.00,4.00,false,true,28.708,-1.0000,-1.0000,false,-1,500
GG100-6-1.dat,100,6,0.125,0.3,0.2,1000,true,0.00,0.00,false,false,1.646,16874.0720,1.0000,true,-1,-1
GG100-6-1.dat,100,6,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,28.395,-1.0000,-1.0000,false,-1,500
