InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG100-8-2.dat,100,8,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,0.787,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,0.411,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.5,0.4,1000,false,2.00,4.00,false,false,0.729,11873.9474,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.4,1000,false,2.00,4.00,false,true,0.341,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,0.634,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,0.336,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.5,0.3,1000,false,2.00,4.00,false,false,0.644,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.3,1000,false,2.00,4.00,false,true,0.347,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,0.953,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,0.355,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.5,0.2,1000,false,2.00,4.00,false,false,0.653,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.2,1000,false,2.00,4.00,false,true,0.345,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,0.645,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,0.345,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.5,0.1,1000,false,2.00,4.00,false,false,3.698,12534.3946,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.5,0.1,1000,false,2.00,4.00,false,true,0.362,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,0.655,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,0.341,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,5.287,12439.8872,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.4,0.4,1000,false,2.00,4.00,false,true,0.363,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,0.658,12267.8981,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,0.351,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.4,0.3,1000,false,2.00,4.00,false,false,2.601,12336.5678,1.0000,true,-1,-1
GG100-8-2.dat,100,8,0.125,0.4,0.3,1000,false,2.00,4.00,false,true,0.374,12267.8981,1.0000,true,-1,1
GG100-8-2.dat,100,8,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,0.655,11871.9196,0.9430,true,-1,-1
