InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.157,3690.7328,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.118,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.127,3690.7328,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.095,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.081,3690.7328,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.089,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.08,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.081,4184.075,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.08,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.08,3748.074,0.0106,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.09,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.08,4184.075,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.086,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.085,4184.075,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.09,3884.9767,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,10.41,-1,-1,FALSE,2,-1,2
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.08,3884.9767,0.9936,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.081,4184.075,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.094,4184.075,1,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.1,3811.5082,0.1236,TRUE,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.085,4184.075,1,TRUE,-1,-1,0
