InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.345,3690.7328,0.9976,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.189,3690.7328,0.9976,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.220,3690.7328,0.9976,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.166,3690.7328,0.9976,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.188,3690.7328,0.9976,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.152,3690.7328,0.9976,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.189,3884.9767,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.132,3690.7328,0.9976,true,-1,4,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.204,3884.9767,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.164,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.221,3884.9767,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.200,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.197,3884.9767,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.157,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.182,3884.9767,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.173,3884.9767,1.0000,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.187,3884.9767,0.9716,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.174,3884.9767,0.9716,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.292,4184.0750,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.173,3884.9767,0.9716,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.188,4184.0750,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.173,3884.9767,0.9716,true,-1,6,0
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.204,4184.0750,1.0000,true,-1,-1,0
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,true,false,3,-1.0000,1.180,4184.0750,1.0000,true,-1,50,0
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.362,3884.9767,0.9986,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.236,3690.7328,0.9092,true,-1,4,0
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.391,3884.9767,0.9986,true,-1,-1,0
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,true,false,3,-1.0000,0.258,3690.7328,0.9092,true,-1,4,0
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,false,false,3,-1.0000,0.314,3884.9767,0.9986,true,-1,-1,0
