InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.35,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.151,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.263,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.121,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.227,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.119,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.195,10342.3722,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.106,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.198,10342.3722,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.12,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.202,10342.3722,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.124,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.204,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.142,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.25,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.139,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.226,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.126,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.212,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.124,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.216,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.13,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.211,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.132,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.225,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.135,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.233,10337.47,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.2,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.13,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.23,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.1,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.126,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.534,10662.6219,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.1,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.12,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.3,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.219,10569.7588,0.9974,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.108,10569.7588,0.9974,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.3,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.322,10662.6219,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.11,10569.7588,0.9974,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.3,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.205,10110.0834,0.7732,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.12,10569.7588,0.9974,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.3,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.36,10662.6219,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.146,10585.1614,0.9986,TRUE,-1,3,0
GG50-3-1.dat,50,3,0.125,0.3,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.292,10569.7588,0.9974,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.123,10569.7588,0.9974,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.3,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,2.319,10794.4654,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.2,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.511,10662.6219,1,TRUE,-1,40,0
GG50-3-1.dat,50,3,0.125,0.3,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.335,10054.119,0.9988,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.1,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.111,10569.7588,0.9974,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.125,0.3,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,5.934,10931.6874,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.3,0.1,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,1.921,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.5,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.15,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.075,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.5,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.16,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.07,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.5,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.151,10342.3722,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.071,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.5,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.143,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.072,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.5,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.145,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.069,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.5,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.58,10662.6219,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.2,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.07,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.5,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.143,10569.7588,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.1,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.072,10569.7588,1,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.5,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,569.41,11225.7486,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.5,0.1,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,2.469,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.4,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.17,10569.7588,0.9984,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.4,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.082,10569.7588,0.9984,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.4,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.502,10662.6219,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.4,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.082,10569.7588,0.9984,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.4,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.164,10569.7588,0.9984,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.4,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.079,10569.7588,0.9984,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.4,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,18.754,10794.4654,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.4,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.555,10662.6219,1,TRUE,-1,40,0
GG50-3-1.dat,50,3,0.25,0.4,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.176,10569.7588,0.9984,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.4,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.08,10569.7588,0.9984,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.4,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,51.417,10931.6874,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.4,0.2,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,2.492,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.4,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.298,10054.119,0.9998,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.4,0.1,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.097,10569.7588,0.9984,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.4,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,1000.575,-1,-1,FALSE,9,-1,2
GG50-3-1.dat,50,3,0.25,0.4,0.1,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,2.695,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.3,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,1.111,10662.6219,0.9876,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.3,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.095,10569.7588,0.8694,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.3,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,11.556,10931.6874,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.3,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,2.735,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.3,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.982,10662.6219,0.9876,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.3,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.091,10569.7588,0.8694,TRUE,-1,1,0
GG50-3-1.dat,50,3,0.25,0.3,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,68.63,10998.293,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.3,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,2.568,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.3,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,1.369,10679.2837,0.9932,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.3,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.556,10662.6219,0.9876,TRUE,-1,40,0
GG50-3-1.dat,50,3,0.25,0.3,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,1000.764,-1,-1,FALSE,9,-1,2
GG50-3-1.dat,50,3,0.25,0.3,0.2,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,2.469,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.3,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,2.37,10931.6874,1,TRUE,-1,-1,0
GG50-3-1.dat,50,3,0.25,0.3,0.1,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,2.394,-1,-1,FALSE,-1,100,2
GG50-3-1.dat,50,3,0.25,0.3,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,1000.298,-1,-1,FALSE,9,-1,2
GG50-3-1.dat,50,3,0.25,0.3,0.1,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,2.824,-1,-1,FALSE,-1,100,2
GG50-4-2.dat,50,4,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.218,9488.5661,1,TRUE,-1,-1,0
GG50-4-2.dat,50,4,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.101,9488.5661,1,TRUE,-1,1,0
GG50-4-2.dat,50,4,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.206,9329.145,1,TRUE,-1,-1,0
GG50-4-2.dat,50,4,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.1,9488.5661,1,TRUE,-1,1,0
GG50-4-2.dat,50,4,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.2,9329.145,1,TRUE,-1,-1,0
GG50-4-2.dat,50,4,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.096,9488.5661,1,TRUE,-1,1,0
GG50-4-2.dat,50,4,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.201,9329.145,1,TRUE,-1,-1,0
GG50-4-2.dat,50,4,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.097,9488.5661,1,TRUE,-1,1,0
GG50-4-2.dat,50,4,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.196,9329.145,1,TRUE,-1,-1,0
GG50-4-2.dat,50,4,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.097,9488.5661,1,TRUE,-1,1,0
GG50-4-2.dat,50,4,0.125,0.5,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.199,9488.5661,1,TRUE,-1,-1,0
