InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.506,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.183,14979.5417,1,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.441,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.161,14979.5417,1,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.43,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.16,14979.5417,1,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.365,14579.019,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.134,14979.5417,1,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.37,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.13,14979.5417,1,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.441,14979.9614,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.175,14979.5417,1,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.486,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.176,14979.5417,1,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.682,14986.9269,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.135,14979.9614,1,TRUE,-1,2,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.485,14979.9614,0.9986,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,TRUE,0,0,FALSE,TRUE,FALSE,3,-1,0.135,14979.5417,0.9336,TRUE,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,1.723,14986.9269,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,FALSE,2,4,FALSE,TRUE,FALSE,3,-1,0.14,14979.9614,0.9986,TRUE,-1,2,0
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.541,14979.9614,0.9986,TRUE,-1,-1,0
