InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.252,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.252,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.259,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.251,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.251,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.26,14979.9614,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.251,14979.5417,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.252,14986.9269,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.252,14979.9614,0.9998,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.253,14986.9269,1,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,TRUE,0,0,FALSE,FALSE,FALSE,3,-1,0.235,14979.9614,0.9998,TRUE,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,FALSE,2,4,FALSE,FALSE,FALSE,3,-1,0.252,14986.9269,1,TRUE,-1,-1,0
