InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance,Status
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.150,3690.7328,1.0000,2
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.141,3690.7328,1.0000,2
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.113,3690.7328,1.0000,2
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.100,3690.7328,1.0000,2
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.084,3690.7328,0.8902,2
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.087,3690.7328,0.8902,2
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.085,3690.7328,0.8902,2
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.080,3690.7328,0.8902,2
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,true,0.081,3884.9767,0.9936,2
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.091,3884.9767,0.9936,2
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.085,3884.9767,0.9936,2
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.090,3884.9767,0.9936,2
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.147,3690.7328,0.9666,2
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.150,3690.7328,0.9666,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.151,3690.7328,0.9666,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.145,3690.7328,0.9666,2
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.140,3690.7328,0.7296,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.141,3690.7328,0.7296,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.145,3884.9767,0.9942,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.147,3884.9767,0.9942,2
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.140,3884.9767,0.8898,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.151,3884.9767,0.8898,2
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.140,3884.9767,0.8898,2
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.175,4233.0451,0.9990,2
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,true,0.069,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,true,0.069,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.4,0.2,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.4,0.1,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.3,0.4,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.3,0.3,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.3,0.2,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.125,0.3,0.1,1000,true,0.070,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.5,0.4,1000,true,0.050,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.5,0.3,1000,true,0.050,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.5,0.2,1000,true,0.050,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.5,0.1,1000,true,0.050,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.4,0.4,1000,true,0.050,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.4,0.3,1000,true,0.050,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.4,0.2,1000,true,0.045,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.4,0.1,1000,true,0.045,10569.7588,1.0000,2
GG50-3-1.dat,50,3,0.250,0.3,0.4,1000,true,0.045,10569.7588,0.9726,2
GG50-3-1.dat,50,3,0.250,0.3,0.3,1000,true,0.050,10569.7588,0.9726,2
GG50-3-1.dat,50,3,0.250,0.3,0.2,1000,true,0.045,10569.7588,0.9726,2
GG50-3-1.dat,50,3,0.250,0.3,0.1,1000,true,0.050,10569.7588,0.9726,2
GG50-4-2.dat,50,4,0.125,0.5,0.4,1000,true,0.055,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.5,0.3,1000,true,0.050,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.5,0.2,1000,true,0.055,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.5,0.1,1000,true,0.060,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.4,0.4,1000,true,0.055,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.4,0.3,1000,true,0.055,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.4,0.2,1000,true,0.060,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.4,0.1,1000,true,0.060,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.3,0.4,1000,true,0.055,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.3,0.3,1000,true,0.060,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.3,0.2,1000,true,0.055,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.125,0.3,0.1,1000,true,0.060,9488.5661,1.0000,2
GG50-4-2.dat,50,4,0.250,0.5,0.4,1000,true,0.075,9643.0836,1.0000,2
GG50-4-2.dat,50,4,0.250,0.5,0.3,1000,true,0.075,9643.0836,1.0000,2
GG50-4-2.dat,50,4,0.250,0.5,0.2,1000,true,0.075,9643.0836,1.0000,2
GG50-4-2.dat,50,4,0.250,0.5,0.1,1000,true,0.075,9643.0836,1.0000,2
GG50-4-2.dat,50,4,0.250,0.4,0.4,1000,true,0.064,9643.0836,0.9984,2
GG50-4-2.dat,50,4,0.250,0.4,0.3,1000,true,0.066,9643.0836,0.9984,2
GG50-4-2.dat,50,4,0.250,0.4,0.2,1000,true,0.066,9683.9384,1.0000,2
GG50-4-2.dat,50,4,0.250,0.4,0.1,1000,true,0.070,9683.9384,1.0000,2
GG50-4-2.dat,50,4,0.250,0.3,0.4,1000,true,0.065,9720.7239,0.9980,2
GG50-4-2.dat,50,4,0.250,0.3,0.3,1000,true,0.070,9720.7239,0.9980,2
GG50-4-2.dat,50,4,0.250,0.3,0.2,1000,true,0.069,9720.7239,0.9980,2
GG50-4-2.dat,50,4,0.250,0.3,0.1,1000,true,0.064,9720.7239,0.9980,2
GG50-5-3.dat,50,5,0.125,0.5,0.4,1000,true,0.129,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.5,0.3,1000,true,0.130,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.5,0.2,1000,true,0.135,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.5,0.1,1000,true,0.135,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.4,0.4,1000,true,0.130,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.4,0.3,1000,true,0.141,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.4,0.2,1000,true,0.135,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.4,0.1,1000,true,0.130,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.125,0.3,0.4,1000,true,0.130,7593.5565,0.9918,2
GG50-5-3.dat,50,5,0.125,0.3,0.3,1000,true,0.135,7593.5565,0.9918,2
GG50-5-3.dat,50,5,0.125,0.3,0.2,1000,true,0.135,7593.5565,0.9918,2
GG50-5-3.dat,50,5,0.125,0.3,0.1,1000,true,0.130,7593.5565,0.9918,2
GG50-5-3.dat,50,5,0.250,0.5,0.4,1000,true,0.090,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.250,0.5,0.3,1000,true,0.090,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.250,0.5,0.2,1000,true,0.096,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.250,0.5,0.1,1000,true,0.095,7552.1325,1.0000,2
GG50-5-3.dat,50,5,0.250,0.4,0.4,1000,true,0.100,7552.1325,0.9922,2
GG50-5-3.dat,50,5,0.250,0.4,0.3,1000,true,0.095,7552.1325,0.9922,2
GG50-5-3.dat,50,5,0.250,0.4,0.2,1000,true,0.101,7552.1325,0.9922,2
GG50-5-3.dat,50,5,0.250,0.4,0.1,1000,true,0.090,7552.1325,0.9922,2
GG50-5-3.dat,50,5,0.250,0.3,0.4,1000,true,0.085,7839.8318,0.9092,2
GG50-5-3.dat,50,5,0.250,0.3,0.3,1000,true,0.093,7839.8318,0.9092,2
GG50-5-3.dat,50,5,0.250,0.3,0.2,1000,true,0.088,7839.8318,0.9092,2
GG50-5-3.dat,50,5,0.250,0.3,0.1,1000,true,0.085,7839.8318,0.9092,2
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,true,0.090,14979.5417,1.0000,2
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,true,0.090,14979.5417,1.0000,2
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,true,0.090,14979.5417,1.0000,2
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,true,0.100,14979.5417,1.0000,2
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,true,0.095,14979.5417,0.9710,2
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,true,0.090,14979.5417,0.9710,2
GG80-4-1.dat,80,4,0.125,0.4,0.2,1000,true,0.101,14979.5417,0.9710,2
GG80-4-1.dat,80,4,0.125,0.4,0.1,1000,true,0.107,14979.5417,0.9710,2
GG80-4-1.dat,80,4,0.125,0.3,0.4,1000,true,0.105,14979.9614,0.5104,2
GG80-4-1.dat,80,4,0.125,0.3,0.3,1000,true,0.100,14986.9269,0.9742,2
GG80-4-1.dat,80,4,0.125,0.3,0.2,1000,true,0.095,14986.9269,0.9742,2
GG80-4-1.dat,80,4,0.125,0.3,0.1,1000,true,0.100,14986.9269,0.9742,2
GG80-4-1.dat,80,4,0.250,0.5,0.4,1000,true,0.085,14979.5417,0.9976,2
GG80-4-1.dat,80,4,0.250,0.5,0.3,1000,true,0.085,14979.5417,0.9976,2
GG80-4-1.dat,80,4,0.250,0.5,0.2,1000,true,0.090,14979.5417,0.9976,2
GG80-4-1.dat,80,4,0.250,0.5,0.1,1000,true,0.090,14979.5417,0.9976,2
GG80-4-1.dat,80,4,0.250,0.4,0.4,1000,true,0.089,14979.5417,0.8308,2
GG80-4-1.dat,80,4,0.250,0.4,0.3,1000,true,0.085,14979.5417,0.8308,2
GG80-4-1.dat,80,4,0.250,0.4,0.2,1000,true,0.085,14979.5417,0.8308,2
GG80-4-1.dat,80,4,0.250,0.4,0.1,1000,true,0.088,14979.9614,0.9716,2
GG80-4-1.dat,80,4,0.250,0.3,0.4,1000,true,0.092,14986.9269,0.8326,2
GG80-4-1.dat,80,4,0.250,0.3,0.3,1000,true,0.093,14986.9269,0.8326,2
GG80-4-1.dat,80,4,0.250,0.3,0.2,1000,true,0.090,14986.9269,0.8326,2
GG80-4-1.dat,80,4,0.250,0.3,0.1,1000,true,0.091,14986.9269,0.8326,2
GG80-5-1.dat,80,5,0.125,0.5,0.4,1000,true,0.120,12996.0977,0.4866,2
GG80-5-1.dat,80,5,0.125,0.5,0.3,1000,true,0.120,13002.6607,0.9770,2
GG80-5-1.dat,80,5,0.125,0.5,0.2,1000,true,0.120,13002.6607,0.9770,2
GG80-5-1.dat,80,5,0.125,0.5,0.1,1000,true,0.120,13002.6607,0.9770,2
GG80-5-1.dat,80,5,0.125,0.4,0.4,1000,true,0.120,13013.7969,0.7784,2
GG80-5-1.dat,80,5,0.125,0.4,0.3,1000,true,0.125,13013.7969,0.7784,2
GG80-5-1.dat,80,5,0.125,0.4,0.2,1000,true,0.115,13013.7969,0.7784,2
GG80-5-1.dat,80,5,0.125,0.4,0.1,1000,true,0.150,13070.8090,0.9992,2
GG80-5-1.dat,80,5,0.125,0.3,0.4,1000,true,0.116,12952.1871,0.9516,2
GG80-5-1.dat,80,5,0.125,0.3,0.3,1000,true,0.116,12952.1871,0.9516,2
GG80-5-1.dat,80,5,0.125,0.3,0.2,1000,true,0.120,12952.1871,0.9516,2
GG80-5-1.dat,80,5,0.125,0.3,0.1,1000,true,0.110,12952.1871,0.9516,2
GG80-5-1.dat,80,5,0.250,0.5,0.4,1000,true,0.296,13002.6607,0.8320,2
GG80-5-1.dat,80,5,0.250,0.5,0.3,1000,true,0.375,13002.6607,0.8320,2
GG80-5-1.dat,80,5,0.250,0.5,0.2,1000,true,0.320,13002.6607,0.8320,2
GG80-5-1.dat,80,5,0.250,0.5,0.1,1000,true,0.340,13013.7969,0.9774,2
GG80-5-1.dat,80,5,0.250,0.4,0.4,1000,true,0.321,13070.8090,0.9236,2
GG80-5-1.dat,80,5,0.250,0.4,0.3,1000,true,0.350,13070.8090,0.9236,2
GG80-5-1.dat,80,5,0.250,0.4,0.2,1000,true,0.350,12945.6241,0.9238,2
