InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance,Status
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.287,3690.7328,1.0000,2
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.105,3690.7328,1.0000,2
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.095,3690.7328,1.0000,2
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.095,3690.7328,0.8902,2
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.085,3690.7328,0.8902,2
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.081,3690.7328,0.8902,2
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.100,3884.9767,0.9936,2
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.085,3884.9767,0.9936,2
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.085,3884.9767,0.9936,2
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.175,3690.7328,0.9666,2
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.140,3690.7328,0.9666,2
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.160,3690.7328,0.9666,2
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.135,3690.7328,0.7296,2
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.145,3884.9767,0.9942,2
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.140,3884.9767,0.9942,2
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.140,3884.9767,0.8898,2
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.135,3884.9767,0.8898,2
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.170,4233.0451,0.9990,2
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,true,0.065,10569.7588,1.0000,2
