InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,Runtime(s),Objective,OutOfSamplePerformance
GG100-6-1.dat,100,6,0.125,0.1,0.3,1000,true,0.00,0.00,false,2.911,16020.0380,0.9590
GG100-6-1.dat,100,6,0.125,0.1,0.2,1000,true,0.00,0.00,false,12.618,16064.1469,0.9630
GG100-6-1.dat,100,6,0.125,0.2,0.3,1000,true,0.00,0.00,false,4.881,17013.2881,0.9850
GG100-6-1.dat,100,6,0.125,0.2,0.3,1000,true,0.00,0.00,true,6.628,16020.0380,1.0000
GG100-6-1.dat,100,6,0.125,0.2,0.3,1000,false,2.00,4.00,false,16.406,17240.0268,1.0000
GG100-6-1.dat,100,6,0.125,0.2,0.2,1000,true,0.00,0.00,false,2.348,17068.0861,1.0000
GG100-6-1.dat,100,6,0.125,0.2,0.2,1000,true,0.00,0.00,true,78.872,16149.0794,1.0000
GG100-6-1.dat,100,6,0.125,0.2,0.2,1000,false,2.00,4.00,false,7.158,16021.3348,1.0000
GG100-6-1.dat,100,6,0.125,0.2,0.1,1000,true,0.00,0.00,false,1.377,17068.0861,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.3,1000,true,0.00,0.00,false,1.229,16820.7085,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.3,1000,true,0.00,0.00,true,1.532,16911.0575,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.3,1000,false,2.00,4.00,false,2.626,16911.0575,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.2,1000,true,0.00,0.00,false,1.516,16820.7085,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.2,1000,true,0.00,0.00,true,9.921,17068.0861,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.2,1000,false,2.00,4.00,false,1.723,16911.0575,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.1,1000,true,0.00,0.00,false,11.920,16904.1408,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.1,1000,true,0.00,0.00,true,23.320,16021.3348,1.0000
GG100-6-1.dat,100,6,0.125,0.3,0.1,1000,false,2.00,4.00,false,3.547,17068.0861,1.0000
GG100-6-1.dat,100,6,0.250,0.2,0.3,1000,true,0.00,0.00,false,2.436,17068.0861,0.9280
GG100-6-1.dat,100,6,0.250,0.2,0.2,1000,true,0.00,0.00,false,30.339,16020.0380,0.9930
GG100-6-1.dat,100,6,0.250,0.3,0.3,1000,true,0.00,0.00,false,13.386,16911.0575,0.9930
GG100-6-1.dat,100,6,0.250,0.3,0.3,1000,true,0.00,0.00,true,11.015,17374.6441,1.0000
GG100-6-1.dat,100,6,0.250,0.3,0.3,1000,false,2.00,4.00,false,65.452,16021.3348,1.0000
GG100-6-1.dat,100,6,0.250,0.3,0.2,1000,true,0.00,0.00,false,3.494,16911.0575,0.9930
GG100-6-1.dat,100,6,0.250,0.3,0.1,1000,true,0.00,0.00,false,2.117,17068.0861,1.0000
GG100-6-1.dat,100,6,0.500,0.3,0.3,1000,true,0.00,0.00,false,2.454,17068.0861,0.9040
GG100-6-1.dat,100,6,0.500,0.3,0.2,1000,true,0.00,0.00,false,17.879,16020.0380,0.9530
GG100-8-2.dat,100,8,0.125,0.1,0.3,1000,true,0.00,0.00,false,1.414,12854.6633,0.7460
GG100-8-2.dat,100,8,0.125,0.2,0.3,1000,true,0.00,0.00,false,1.333,12538.6318,0.9760
GG100-8-2.dat,100,8,0.125,0.2,0.3,1000,false,2.00,4.00,false,6.082,12854.6633,1.0000
GG100-8-2.dat,100,8,0.125,0.2,0.2,1000,true,0.00,0.00,false,1.450,12538.6318,0.9760
GG100-8-2.dat,100,8,0.125,0.2,0.2,1000,false,2.00,4.00,false,92.987,13039.9979,1.0000
GG100-8-2.dat,100,8,0.125,0.2,0.1,1000,true,0.00,0.00,false,11.396,12854.6633,1.0000
GG100-8-2.dat,100,8,0.125,0.3,0.3,1000,true,0.00,0.00,false,1.592,12317.5153,0.9960
GG100-8-2.dat,100,8,0.125,0.3,0.3,1000,true,0.00,0.00,true,112.093,12851.5942,1.0000
GG100-8-2.dat,100,8,0.125,0.3,0.3,1000,false,2.00,4.00,false,2.020,12538.6318,1.0000
GG100-8-2.dat,100,8,0.125,0.3,0.2,1000,true,0.00,0.00,false,2.443,12317.5153,0.9960
GG100-8-2.dat,100,8,0.125,0.3,0.2,1000,true,0.00,0.00,true,8.012,12854.6633,1.0000
GG100-8-2.dat,100,8,0.125,0.3,0.2,1000,false,2.00,4.00,false,2.313,12538.6318,1.0000
GG100-8-2.dat,100,8,0.125,0.3,0.1,1000,true,0.00,0.00,false,5.587,12471.3023,1.0000
GG100-8-2.dat,100,8,0.125,0.3,0.1,1000,false,2.00,4.00,false,8.262,12854.6633,1.0000
GG100-8-2.dat,100,8,0.250,0.2,0.2,1000,true,0.00,0.00,false,31.045,13207.9513,0.9340
GG100-8-2.dat,100,8,0.250,0.3,0.3,1000,true,0.00,0.00,false,5.966,13162.9984,0.8980
GG100-8-2.dat,100,8,0.250,0.3,0.3,1000,false,2.00,4.00,false,848.793,13540.3032,1.0000
GG100-8-2.dat,100,8,0.500,0.3,0.3,1000,true,0.00,0.00,false,24.924,12842.2055,0.7920
GG1000-20-5.dat,1000,20,0.125,0.3,0.2,1000,true,0.00,0.00,false,1005.403,84979.8596,0.9570
