InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations
GG20-3-1.dat,20,3,0.125,0.4,0.6,1000,true,0.00,0.00,false,false,0.167,3884.9767,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.4,0.6,1000,true,0.00,0.00,false,true,0.111,3676.9134,0.0130,true,-1,3
GG20-3-1.dat,20,3,0.125,0.4,0.6,1000,false,2.00,4.00,false,false,0.205,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.4,0.6,1000,false,2.00,4.00,false,true,0.102,3884.9767,1.0000,true,-1,6
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,0.105,3884.9767,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,0.090,3676.9134,0.0130,true,-1,3
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,0.104,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,true,0.117,3884.9767,1.0000,true,-1,6
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,0.115,3884.9767,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,0.095,3884.9767,1.0000,true,-1,6
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,false,2.00,4.00,false,false,3.542,4812.4955,1.0000,true,3,-1
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,false,2.00,4.00,false,true,0.740,4184.0750,1.0000,true,-1,50
GG20-3-1.dat,20,3,0.125,0.3,0.6,1000,true,0.00,0.00,false,false,0.110,3884.9767,0.9890,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.3,0.6,1000,true,0.00,0.00,false,true,0.086,3614.2918,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.6,1000,false,2.00,4.00,false,false,0.110,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.3,0.6,1000,false,2.00,4.00,false,true,0.685,4184.0750,1.0000,true,-1,50
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,true,0.00,0.00,false,false,0.120,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,true,0.00,0.00,false,true,0.085,3620.0573,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,false,2.00,4.00,false,false,0.545,4474.2406,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,false,2.00,4.00,false,true,0.670,4184.0750,1.0000,true,-1,50
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,false,0.110,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,0.075,3620.0573,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,false,2.00,4.00,false,false,0.110,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,false,2.00,4.00,false,true,3.252,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.125,0.2,0.6,1000,true,0.00,0.00,false,false,0.100,4184.0750,0.9950,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.2,0.6,1000,true,0.00,0.00,false,true,0.080,3614.2918,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.2,0.6,1000,false,2.00,4.00,false,false,0.150,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.2,0.6,1000,false,2.00,4.00,false,true,3.286,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.125,0.2,0.4,1000,true,0.00,0.00,false,false,0.090,4184.0750,0.9950,true,-1,-1
GG20-3-1.dat,20,3,0.125,0.2,0.4,1000,true,0.00,0.00,false,true,0.085,3620.0573,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.2,0.4,1000,false,2.00,4.00,false,false,0.099,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.2,0.4,1000,false,2.00,4.00,false,true,3.165,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.125,0.2,0.2,1000,true,0.00,0.00,false,false,1.340,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.2,0.2,1000,true,0.00,0.00,false,true,0.115,3977.7318,0.0000,true,-1,10
GG20-3-1.dat,20,3,0.125,0.2,0.2,1000,false,2.00,4.00,false,false,0.100,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.2,0.2,1000,false,2.00,4.00,false,true,3.541,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.125,0.1,0.6,1000,true,0.00,0.00,false,false,0.080,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.1,0.6,1000,true,0.00,0.00,false,true,0.080,3614.2918,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.1,0.6,1000,false,2.00,4.00,false,false,0.095,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.1,0.6,1000,false,2.00,4.00,false,true,3.296,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.125,0.1,0.4,1000,true,0.00,0.00,false,false,0.090,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.1,0.4,1000,true,0.00,0.00,false,true,0.076,3614.2918,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.1,0.4,1000,false,2.00,4.00,false,false,0.084,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.1,0.4,1000,false,2.00,4.00,false,true,3.240,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.125,0.1,0.2,1000,true,0.00,0.00,false,false,0.080,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.1,0.2,1000,true,0.00,0.00,false,true,0.086,3614.2918,0.0000,true,-1,1
GG20-3-1.dat,20,3,0.125,0.1,0.2,1000,false,2.00,4.00,false,false,0.079,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.125,0.1,0.2,1000,false,2.00,4.00,false,true,3.212,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,true,0.00,0.00,false,false,0.293,3956.3767,0.9760,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,true,0.00,0.00,false,true,0.180,3676.9134,0.1250,true,-1,3
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,false,2.00,4.00,false,false,9.485,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.6,1000,false,2.00,4.00,false,true,4.813,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,false,0.289,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,0.287,3813.7005,0.0010,true,-1,4
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,false,0.210,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,false,2.00,4.00,false,true,3.470,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,false,0.225,4184.0750,1.0000,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,0.160,3813.7005,0.0010,true,-1,4
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,false,0.165,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,false,2.00,4.00,false,true,3.380,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,true,0.00,0.00,false,false,0.185,4184.0750,0.9930,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,true,0.00,0.00,false,true,0.145,3620.0573,0.0020,true,-1,1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,false,2.00,4.00,false,false,0.175,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.6,1000,false,2.00,4.00,false,true,3.201,-1.0000,-1.0000,false,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,false,0.189,4184.0750,0.9930,true,-1,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,0.146,3620.0573,0.0020,true,-1,1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,false,0.160,-1.0000,-1.0000,false,3,-1
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,false,2.00,4.00,false,true,3.239,-1.0000,-1.0000,false,-1,-1
