InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,ExactMethodType,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSampleAligned,OutOfSampleJoint,OutOfSampleMinDistrict,OutOfSampleAvgDistrict,EmptyDistricts,SolveSuccess,StatusCode,CutIterations,FailureStage
GG20-3-1.dat,20,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.170,3614.2918,0.000000,0.000000,0.000000,0.666467,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.137,3614.2918,0.000000,0.000000,0.000000,0.666467,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.116,3614.2918,0.000000,0.000000,0.000000,0.666467,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.177,3690.7328,1.000000,1.000000,1.000000,1.000000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.104,3676.9134,0.010600,0.010600,0.010600,0.670200,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.096,3676.9134,0.010600,0.010600,0.010600,0.670200,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.104,3676.9134,0.010600,0.010600,0.010600,0.670200,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.4,0.1,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.203,3884.9767,1.000000,1.000000,1.000000,1.000000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.3,0.4,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.090,3620.0573,0.000000,0.000000,0.000000,0.333533,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.3,0.3,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.095,3620.0573,0.000000,0.000000,0.000000,0.333533,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.095,3620.0573,0.000000,0.000000,0.000000,0.333533,0,true,-1,1,0
GG20-3-1.dat,20,3,0.125,0.3,0.1,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.156,3813.7005,0.000000,0.000000,0.000000,0.333333,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.5,0.4,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.190,3614.2918,0.041600,0.041600,0.041600,0.656600,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.5,0.3,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.253,3690.7328,0.966600,0.966600,0.966600,0.988867,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.5,0.2,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.208,3884.9767,1.000000,1.000000,1.000000,1.000000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.5,0.1,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.580,4109.9618,1.000000,1.000000,1.000000,1.000000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.4,0.4,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.293,3884.9767,0.994200,0.994000,0.994200,0.998000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.4,0.3,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.248,3884.9767,0.994200,0.994000,0.994200,0.998000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.4,0.2,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.232,3884.9767,0.994200,0.994000,0.994200,0.998000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.4,0.1,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,1.967,4233.0451,1.000000,1.000000,1.000000,1.000000,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.3,0.4,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.153,3620.0573,0.009000,0.003400,0.009000,0.359733,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.3,0.3,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.319,3813.7005,0.000000,0.000000,0.000000,0.331867,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.3,0.2,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,0.235,3813.7005,0.000000,0.000000,0.000000,0.331867,0,true,-1,1,0
GG20-3-1.dat,20,3,0.250,0.3,0.1,1000,true,0.00,0.00,false,true,1,false,3,-1.0000,3.145,4720.2159,0.000000,0.000000,0.000000,0.000000,0,true,-1,1,0
