InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,UseAssignmentDependent,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG1000-20-5.dat,1000,20,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,false,false,3,-1.0000,65.965,85918.9644,1.0000,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.5,0.4,1000,false,2.00,4.00,false,false,false,false,3,-1.0000,62.910,85918.9644,1.0000,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,false,false,3,-1.0000,65.482,85918.9644,1.0000,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.5,0.3,1000,false,2.00,4.00,false,false,false,false,3,-1.0000,94.310,86005.0477,1.0000,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,false,false,3,-1.0000,84.376,85918.9644,1.0000,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.5,0.2,1000,false,2.00,4.00,false,false,false,false,3,-1.0000,47.402,85945.8014,1.0000,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,false,false,3,-1.0000,24.071,85918.9644,1.0000,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.5,0.1,1000,false,2.00,4.00,false,false,false,false,3,-1.0000,144.247,-1.0000,-1.0000,false,2,-1,2
GG1000-20-5.dat,1000,20,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,false,false,3,-1.0000,114.259,-1.0000,-1.0000,false,2,-1,2
GG1000-20-5.dat,1000,20,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,false,false,3,-1.0000,227.822,-1.0000,-1.0000,false,2,-1,2
GG1000-20-5.dat,1000,20,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,false,false,3,-1.0000,41.501,86005.8796,0.9984,true,-1,-1,0
GG1000-20-5.dat,1000,20,0.125,0.4,0.3,1000,false,2.00,4.00,false,false,false,false,3,-1.0000,135.996,-1.0000,-1.0000,false,2,-1,2
GG1000-20-5.dat,1000,20,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,false,false,3,-1.0000,237.251,-1.0000,-1.0000,false,2,-1,2
