InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,true,3,249.3821,0.817,573455.3026,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,true,3,249.3821,0.495,573455.3026,1.0000,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,false,2.00,4.00,false,false,true,3,249.3821,0.551,589264.7839,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.4,1000,false,2.00,4.00,false,true,true,3,249.3821,0.513,589264.7839,1.0000,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,true,3,249.3821,0.534,573455.3026,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,true,3,249.3821,0.451,573455.3026,1.0000,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,false,2.00,4.00,false,false,true,3,249.3821,0.520,589264.7839,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.3,1000,false,2.00,4.00,false,true,true,3,249.3821,0.441,589264.7839,1.0000,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,true,3,249.3821,0.494,573455.3026,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,true,3,249.3821,0.440,573455.3026,1.0000,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,false,2.00,4.00,false,false,true,3,249.3821,0.838,590859.7814,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.2,1000,false,2.00,4.00,false,true,true,3,249.3821,0.436,589264.7839,1.0000,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,true,3,249.3821,0.510,573455.3026,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,true,3,249.3821,0.463,573455.3026,1.0000,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,false,2.00,4.00,false,false,true,3,249.3821,1.078,593270.7790,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.5,0.1,1000,false,2.00,4.00,false,true,true,3,249.3821,3.246,593270.7790,1.0000,true,-1,22,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,true,3,249.3821,0.530,573455.3026,0.9996,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,true,3,249.3821,0.716,573455.3026,0.9996,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,true,3,249.3821,1.376,593270.7790,1.0000,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.4,1000,false,2.00,4.00,false,true,true,3,249.3821,1.222,593910.2130,1.0000,true,-1,7,0
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,true,3,249.3821,0.702,573455.3026,0.9996,true,-1,-1,0
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,true,3,249.3821,0.436,573455.3026,0.9996,true,-1,1,0
GG50-3-1.dat,50,3,0.125,0.4,0.3,1000,false,2.00,4.00,false,false,true,3,249.3821,0.701,593270.7790,1.0000,true,-1,-1,0
