InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseD1,Delta1,Delta2,UseJointChance,UseExactMethod,UseImprovedModel,AvgDistMethod,AvgDistMean,Runtime(s),Objective,OutOfSamplePerformance,SolveSuccess,StatusCode,CutIterations,FailureStage
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,true,0.00,0.00,false,false,true,3,233.0602,0.488,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,true,0.00,0.00,false,true,true,3,233.0602,0.154,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,false,2.00,4.00,false,false,true,3,233.0602,0.390,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.4,1000,false,2.00,4.00,false,true,true,3,233.0602,0.185,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,true,0.00,0.00,false,false,true,3,233.0602,0.334,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,true,0.00,0.00,false,true,true,3,233.0602,0.146,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,false,2.00,4.00,false,false,true,3,233.0602,0.375,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.3,1000,false,2.00,4.00,false,true,true,3,233.0602,0.150,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,true,0.00,0.00,false,false,true,3,233.0602,0.276,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,true,0.00,0.00,false,true,true,3,233.0602,0.121,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,false,2.00,4.00,false,false,true,3,233.0602,0.339,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.2,1000,false,2.00,4.00,false,true,true,3,233.0602,0.134,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,true,0.00,0.00,false,false,true,3,233.0602,0.300,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,true,0.00,0.00,false,true,true,3,233.0602,0.136,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,false,2.00,4.00,false,false,true,3,233.0602,0.399,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.5,0.1,1000,false,2.00,4.00,false,true,true,3,233.0602,0.159,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,true,0.00,0.00,false,false,true,3,233.0602,0.300,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,true,0.00,0.00,false,true,true,3,233.0602,0.130,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,false,2.00,4.00,false,false,true,3,233.0602,0.363,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.4,1000,false,2.00,4.00,false,true,true,3,233.0602,0.156,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,true,0.00,0.00,false,false,true,3,233.0602,0.280,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,true,0.00,0.00,false,true,true,3,233.0602,0.127,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,false,2.00,4.00,false,false,true,3,233.0602,0.340,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.3,1000,false,2.00,4.00,false,true,true,3,233.0602,0.139,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.2,1000,true,0.00,0.00,false,false,true,3,233.0602,0.271,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.2,1000,true,0.00,0.00,false,true,true,3,233.0602,0.137,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.2,1000,false,2.00,4.00,false,false,true,3,233.0602,0.330,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.2,1000,false,2.00,4.00,false,true,true,3,233.0602,0.133,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.1,1000,true,0.00,0.00,false,false,true,3,233.0602,0.290,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.1,1000,true,0.00,0.00,false,true,true,3,233.0602,0.119,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.4,0.1,1000,false,2.00,4.00,false,false,true,3,233.0602,0.324,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.4,0.1,1000,false,2.00,4.00,false,true,true,3,233.0602,0.126,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.4,1000,true,0.00,0.00,false,false,true,3,233.0602,0.258,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.3,0.4,1000,true,0.00,0.00,false,true,true,3,233.0602,0.120,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.4,1000,false,2.00,4.00,false,false,true,3,233.0602,0.315,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.3,0.4,1000,false,2.00,4.00,false,true,true,3,233.0602,0.130,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.3,1000,true,0.00,0.00,false,false,true,3,233.0602,0.269,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.3,0.3,1000,true,0.00,0.00,false,true,true,3,233.0602,0.120,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.3,1000,false,2.00,4.00,false,false,true,3,233.0602,0.313,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.3,0.3,1000,false,2.00,4.00,false,true,true,3,233.0602,0.120,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.2,1000,true,0.00,0.00,false,false,true,3,233.0602,0.294,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.3,0.2,1000,true,0.00,0.00,false,true,true,3,233.0602,0.130,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.2,1000,false,2.00,4.00,false,false,true,3,233.0602,0.339,850304.7336,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.3,0.2,1000,false,2.00,4.00,false,true,true,3,233.0602,0.132,850304.7336,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.1,1000,true,0.00,0.00,false,false,true,3,233.0602,0.270,832022.0155,1.0000,true,-1,-1,0
GG80-4-1.dat,80,4,0.125,0.3,0.1,1000,true,0.00,0.00,false,true,true,3,233.0602,0.124,832022.0155,1.0000,true,-1,1,0
GG80-4-1.dat,80,4,0.125,0.3,0.1,1000,false,2.00,4.00,false,false,true,3,233.0602,2.816,847658.5542,1.0000,true,-1,-1,0
