Region_Center_ID,Extra_Point_ID,MIP_Cost_With_Point,MIP_Cost_Base,Real_Increase,LP_Dual_Val,Gap_Percent
31,1,43626.9840,7243.6813,36383.3027,37227.3306,2.32%
31,2,43561.1897,7243.6813,36317.5084,36980.5406,1.83%
31,3,30427.3966,7243.6813,23183.7154,23195.8404,0.05%
31,4,26999.1439,7243.6813,19755.4626,19755.4626,0.00%
31,5,91107.4905,7243.6813,83863.8093,84554.2290,0.82%
31,6,78201.5812,7243.6813,70957.8999,71690.8123,1.03%
31,7,75905.7059,7243.6813,68662.0246,69376.4402,1.04%
31,8,72067.6138,7243.6813,64823.9325,65563.3650,1.14%
31,9,68462.0373,7243.6813,61218.3561,61835.2965,1.01%
31,10,48563.2721,7243.6813,41319.5909,41319.5909,0.00%
31,11,44472.6946,7243.6813,37229.0133,37945.0880,1.92%
31,12,37469.1165,7243.6813,30225.4352,30690.3312,1.54%
31,13,45538.3889,7243.6813,38294.7077,38400.0136,0.27%
31,14,34573.1222,7243.6813,27329.4409,27827.5776,1.82%
31,15,37178.6861,7243.6813,29935.0048,30046.5697,0.37%
31,16,36273.5297,7243.6813,29029.8484,29029.8484,0.00%
31,17,33851.4585,7243.6813,26607.7773,26619.9023,0.05%
31,18,30305.4702,7243.6813,23061.7890,23073.9140,0.05%
31,19,30763.6126,7243.6813,23519.9313,23532.0564,0.05%
31,20,28643.5272,7243.6813,21399.8459,21411.9710,0.06%
31,21,28680.0068,7243.6813,21436.3256,21448.4506,0.06%
31,22,28101.4744,7243.6813,20857.7931,20869.9182,0.06%
31,23,26836.1608,7243.6813,19592.4796,19664.4258,0.37%
31,24,25239.5112,7243.6813,17995.8299,18048.6585,0.29%
31,25,12561.5485,7243.6813,5317.8672,5935.9042,11.62%
31,26,27354.1818,7243.6813,20110.5005,20385.2264,1.37%
31,27,7243.6813,7243.6813,-0.0000,854.9975,0.00%
31,28,11236.7839,7243.6813,3993.1026,4351.8016,8.98%
31,29,7243.6813,7243.6813,-0.0000,455.3808,0.00%
31,30,7243.6813,7243.6813,-0.0000,475.5399,0.00%
31,31,7243.6813,7243.6813,-0.0000,447.0483,0.00%
31,32,16605.6571,7243.6813,9361.9758,10033.8085,7.18%
31,33,14918.2289,7243.6813,7674.5477,8349.2480,8.79%
31,34,14269.8582,7243.6813,7026.1769,7775.4864,10.66%
31,35,83383.3897,7243.6813,76139.7085,76877.6279,0.97%
31,36,76125.3804,7243.6813,68881.6991,69547.9054,0.97%
31,37,76806.5775,7243.6813,69562.8963,70266.5149,1.01%
31,38,70617.0202,7243.6813,63373.3389,63983.7364,0.96%
31,39,63841.2305,7243.6813,56597.5492,57421.8368,1.46%
31,40,62668.8594,7243.6813,55425.1782,56236.2206,1.46%
31,41,55857.3270,7243.6813,48613.6457,49280.2524,1.37%
31,42,56980.0738,7243.6813,49736.3926,50461.0603,1.46%
31,43,51272.6431,7243.6813,44028.9618,44675.7580,1.47%
31,44,45927.2996,7243.6813,38683.6184,39327.7918,1.67%
31,45,45649.2460,7243.6813,38405.5647,39048.8966,1.68%
31,46,45537.1041,7243.6813,38293.4228,38935.5899,1.68%
31,47,45379.2663,7243.6813,38135.5850,38781.0197,1.69%
31,48,45000.4450,7243.6813,37756.7637,38068.9717,0.83%
31,49,52047.3319,7243.6813,44803.6507,45208.7938,0.90%
31,50,44303.5681,7243.6813,37059.8868,37746.3933,1.85%
31,51,44078.1409,7243.6813,36834.4596,37491.9680,1.79%
31,52,43604.4040,7243.6813,36360.7227,37026.8561,1.83%
31,53,30220.3009,7243.6813,22976.6196,23782.3051,3.51%
31,54,33710.7380,7243.6813,26467.0568,26479.1818,0.05%
31,55,32769.2317,7243.6813,25525.5504,25537.6755,0.05%
31,56,27961.4867,7243.6813,20717.8054,20729.9305,0.06%
31,57,26901.1506,7243.6813,19657.4693,19657.4693,0.00%
31,58,23059.8226,7243.6813,15816.1413,15846.9921,0.20%
31,59,26181.3219,7243.6813,18937.6406,19153.0831,1.14%
31,60,18960.4840,7243.6813,11716.8028,11991.5287,2.34%
31,61,17338.6027,7243.6813,10094.9214,10373.7531,2.76%
31,62,7243.6813,7243.6813,-0.0000,696.9969,0.00%
31,63,7243.6813,7243.6813,-0.0000,1086.6263,0.00%
31,64,7243.6813,7243.6813,-0.0000,235.9085,0.00%
31,65,7243.6813,7243.6813,-0.0000,235.9717,0.00%
31,66,14815.2229,7243.6813,7571.5417,8436.2497,11.42%
31,67,14894.8988,7243.6813,7651.2176,8207.5716,7.27%
31,68,10356.8542,7243.6813,3113.1729,3968.6303,27.48%
31,69,84050.8492,7243.6813,76807.1680,77619.9143,1.06%
31,70,83792.1693,7243.6813,76548.4880,77284.9026,0.96%
31,71,79284.1725,7243.6813,72040.4912,72877.7713,1.16%
31,72,79040.1977,7243.6813,71796.5165,72534.7723,1.03%
31,73,76835.2520,7243.6813,69591.5707,70247.5627,0.94%
31,74,68837.7527,7243.6813,61594.0715,62396.9879,1.30%
31,75,58253.1064,7243.6813,51009.4251,51514.4389,0.99%
31,76,55475.3103,7243.6813,48231.6290,48838.8996,1.26%
31,77,52400.5106,7243.6813,45156.8293,45557.0720,0.89%
31,78,44860.3622,7243.6813,37616.6809,38265.2232,1.72%
31,79,45667.6721,7243.6813,38423.9909,38549.0179,0.33%
31,80,35032.3975,7243.6813,27788.7163,28293.9493,1.82%
31,81,35947.2953,7243.6813,28703.6140,28840.0993,0.48%
31,82,33184.3667,7243.6813,25940.6855,25952.8105,0.05%
31,83,27994.0594,7243.6813,20750.3782,20750.3782,0.00%
31,84,27115.0154,7243.6813,19871.3341,19883.4592,0.06%
31,85,18599.7655,7243.6813,11356.0842,11829.1595,4.17%
31,86,27519.4415,7243.6813,20275.7602,20275.7602,0.00%
31,87,25889.5497,7243.6813,18645.8685,18645.8685,0.00%
31,88,26444.6165,7243.6813,19200.9352,19200.9352,0.00%
31,89,30483.7324,7243.6813,23240.0511,23468.6502,0.98%
31,90,21130.5073,7243.6813,13886.8260,13994.6325,0.78%
31,91,12442.8368,7243.6813,5199.1556,5853.9939,12.60%
31,92,23326.3173,7243.6813,16082.6360,16344.1808,1.63%
31,93,9693.3270,7243.6813,2449.6458,2961.2663,20.89%
31,94,7243.6813,7243.6813,-0.0000,1189.2588,0.00%
31,95,7243.6813,7243.6813,-0.0000,3241.6434,0.00%
31,96,100224.1245,7243.6813,92980.4432,93291.4079,0.33%
31,97,84202.1419,7243.6813,76958.4606,77771.7258,1.06%
31,98,84666.4488,7243.6813,77422.7675,78097.2924,0.87%
31,99,83720.7041,7243.6813,76477.0228,77292.3736,1.07%
31,100,81115.5179,7243.6813,73871.8367,74465.8271,0.80%
96,1,60020.7166,27398.1831,32622.5335,33309.2580,2.11%
96,2,60049.6083,27398.1831,32651.4252,33289.5582,1.95%
96,3,77607.8766,27398.1831,50209.6935,52124.2255,3.81%
96,4,82962.7773,27398.1831,55564.5942,57518.1911,3.52%
96,5,27398.1831,27398.1831,0.0000,5103.9885,0.00%
96,6,28359.5495,27398.1831,961.3665,4064.7960,322.81%
96,7,29324.7674,27398.1831,1926.5843,4191.6819,117.57%
96,8,32916.7275,27398.1831,5518.5444,8046.6808,45.81%
96,9,36186.4456,27398.1831,8788.2625,10982.2277,24.96%
96,10,62463.4557,27398.1831,35065.2726,37293.1780,6.35%
96,11,62505.1083,27398.1831,35106.9252,37316.4288,6.29%
96,12,68173.2368,27398.1831,40775.0537,42040.4736,3.10%
96,13,65995.1040,27398.1831,38596.9209,40928.7228,6.04%
96,14,71260.2296,27398.1831,43862.0465,47363.2477,7.98%
96,15,71554.3854,27398.1831,44156.2023,46340.6874,4.95%
96,16,72084.7150,27398.1831,44686.5319,46806.1379,4.74%
96,17,75202.5619,27398.1831,47804.3788,50817.1867,6.30%
96,18,77762.9201,27398.1831,50364.7370,53571.9442,6.37%
96,19,78090.5904,27398.1831,50692.4073,52687.6491,3.94%
96,20,81300.9272,27398.1831,53902.7441,55909.1460,3.72%
96,21,81357.2873,27398.1831,53959.1042,55972.3923,3.73%
96,22,81451.3783,27398.1831,54053.1952,56017.4733,3.63%
96,23,85783.8789,27398.1831,58385.6958,60455.1113,3.54%
96,24,86180.8820,27398.1831,58782.6989,60745.2975,3.34%
96,25,91014.7600,27398.1831,63616.5770,64158.7555,0.85%
96,26,90781.2588,27398.1831,63383.0757,65602.4686,3.50%
96,27,97752.2938,27398.1831,70354.1107,70895.5970,0.77%
96,28,99927.3219,27398.1831,72529.1388,73307.0702,1.07%
96,29,98816.7903,27398.1831,71418.6072,71919.0381,0.70%
96,30,98878.1262,27398.1831,71479.9431,71983.3818,0.70%
96,31,99756.7731,27398.1831,72358.5900,72847.2649,0.68%
96,32,98177.8713,27398.1831,70779.6882,71151.8470,0.53%
96,33,100884.0441,27398.1831,73485.8610,73767.4169,0.38%
96,34,101135.3641,27398.1831,73737.1810,73981.6001,0.33%
96,35,27398.1831,27398.1831,0.0000,3132.7601,0.00%
96,36,29034.7264,27398.1831,1636.5433,3454.0460,111.06%
96,37,28577.9493,27398.1831,1179.7662,4675.6386,296.32%
96,38,34710.7003,27398.1831,7312.5172,9629.5863,31.69%
96,39,40526.9017,27398.1831,13128.7186,14514.1637,10.55%
96,40,41859.0680,27398.1831,14460.8850,15933.7193,10.18%
96,41,47884.9452,27398.1831,20486.7621,21231.9534,3.64%
96,42,52702.1135,27398.1831,25303.9304,28200.2628,11.45%
96,43,55369.8636,27398.1831,27971.6805,30350.3493,8.50%
96,44,57783.3598,27398.1831,30385.1767,31137.2140,2.48%
96,45,58061.9865,27398.1831,30663.8034,31416.1673,2.45%
96,46,58178.6230,27398.1831,30780.4399,31536.9093,2.46%
96,47,58317.9424,27398.1831,30919.7593,31658.3385,2.39%
96,48,58689.3305,27398.1831,31291.1474,32022.2010,2.34%
96,49,58329.3625,27398.1831,30931.1794,33709.9639,8.98%
96,50,61083.5155,27398.1831,33685.3324,36901.3487,9.55%
96,51,61537.7003,27398.1831,34139.5172,36088.7629,5.71%
96,52,61889.6134,27398.1831,34491.4303,36402.5668,5.54%
96,53,75931.9805,27398.1831,48533.7974,49719.8435,2.44%
96,54,75099.5634,27398.1831,47701.3803,49780.9798,4.36%
96,55,76890.5756,27398.1831,49492.3925,51612.9869,4.28%
96,56,81550.7855,27398.1831,54152.6024,56109.8446,3.61%
96,57,83394.2136,27398.1831,55996.0305,57964.8239,3.52%
96,58,86965.0879,27398.1831,59566.9048,63068.1060,5.88%
96,59,87833.0808,27398.1831,60434.8977,62521.1742,3.45%
96,60,92679.2964,27398.1831,65281.1133,68782.3145,5.36%
96,61,93350.5081,27398.1831,65952.3250,66291.4122,0.51%
96,62,97224.3332,27398.1831,69826.1501,70367.4382,0.78%
96,63,96965.6628,27398.1831,69567.4797,70012.0006,0.64%
96,64,99182.6015,27398.1831,71784.4184,72253.4976,0.65%
96,65,99235.0857,27398.1831,71836.9026,72302.1891,0.65%
96,66,99103.0604,27398.1831,71704.8773,71981.6978,0.39%
96,67,100342.3766,27398.1831,72944.1935,73226.5695,0.39%
96,68,100973.4261,27398.1831,73575.2430,73742.5801,0.23%
96,69,27398.1831,27398.1831,0.0000,2299.0709,0.00%
96,70,27398.1831,27398.1831,0.0000,3560.1430,0.00%
96,71,27398.1831,27398.1831,0.0000,3364.3200,0.00%
96,72,28107.4159,27398.1831,709.2328,4074.5645,474.50%
96,73,28697.9089,27398.1831,1299.7258,3745.9442,188.21%
96,74,36541.9705,27398.1831,9143.7874,11274.1366,23.30%
96,75,45623.4483,27398.1831,18225.2652,19138.7646,5.01%
96,76,48360.0999,27398.1831,20961.9168,21073.2752,0.53%
96,77,58171.7873,27398.1831,30773.6042,33022.9139,7.31%
96,78,58816.0941,27398.1831,31417.9110,32135.2528,2.28%
96,79,66322.5859,27398.1831,38924.4028,41211.3114,5.88%
96,80,70804.6388,27398.1831,43406.4557,46907.6569,8.07%
96,81,73157.6910,27398.1831,45759.5079,48700.1753,6.43%
96,82,75743.3275,27398.1831,48345.1444,51390.1438,6.30%
96,83,82255.7705,27398.1831,54857.5874,56860.6082,3.65%
96,84,82413.4791,27398.1831,55015.2960,56946.8482,3.51%
96,85,85456.2279,27398.1831,58058.0448,58768.4869,1.22%
