PointID,Region_0,Region_1,Region_2,Region_3,Region_4
0,114444.6718960428,88973.4113214692,57.8814792584,84668.4672809398,NaN
1,NaN,NaN,NaN,NaN,NaN
2,NaN,13953.4226467154,18703.7565757238,NaN,NaN
3,NaN,NaN,NaN,NaN,NaN
4,NaN,2761.7813339811,42333.5310257888,79409.1240742191,NaN
5,NaN,NaN,NaN,NaN,NaN
6,2632.3832170872,NaN,NaN,NaN,79945.1678981107
7,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN
10,73524.3978850424,NaN,NaN,NaN,24832.2472527272
11,NaN,6.9920286646,52664.8694386790,NaN,NaN
12,NaN,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN,NaN
14,128760.3820025975,80349.1106499754,41116.7130583816,393.3684557555,119104.6004686169
15,NaN,1039.6407581396,55933.7722356914,NaN,NaN
16,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN
18,141250.9659227319,55317.6336845708,24437.9322220542,26575.7547923893,147336.2680845849
19,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN
21,NaN,8283.2288899010,4579.2458318835,72584.9312813421,NaN
22,27691.6837943365,NaN,26473.2160217617,69506.1177119500,117807.8386384087
23,76137.9996166978,NaN,NaN,6549.6467325836,5038.7401063734
24,95129.2525605809,86061.9255144530,14621.8727243899,23359.8135635986,136102.5636754515
25,NaN,3635.9212158486,9475.2105486132,92139.4138106304,NaN
26,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN
28,56316.4754086683,NaN,70237.8487844301,12316.0917450286,43654.0844199602
29,NaN,4595.7267928666,53925.1544798967,88943.7534248275,NaN
30,NaN,79192.1839020649,6899.0941314510,NaN,NaN
31,138244.5390735319,NaN,NaN,NaN,0.0000000000
32,NaN,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN,NaN
34,NaN,66446.5667919866,6414.7287092452,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN
36,99007.3671370934,NaN,NaN,36486.5894650992,7434.6058111793
37,NaN,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN,NaN
39,142077.0864005955,125614.2262901860,NaN,0.0000000000,87781.9365325072
40,NaN,34339.5345171944,526.2759755839,43643.5067973795,NaN
41,NaN,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN
46,NaN,NaN,0.0000000000,NaN,NaN
47,4064.7194179278,NaN,NaN,NaN,92423.8482703547
48,NaN,31979.3014556328,76024.9537299791,43607.1499594424,NaN
49,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN
51,NaN,NaN,NaN,NaN,NaN
52,NaN,NaN,NaN,NaN,NaN
53,NaN,29181.9495231838,8327.6295598958,40084.9086327681,NaN
54,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN
56,NaN,32274.6160379965,570.2284091892,NaN,NaN
57,NaN,NaN,NaN,NaN,NaN
58,126553.0961278899,NaN,NaN,NaN,570.9798044240
59,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN
61,NaN,NaN,NaN,NaN,NaN
62,0.0000000000,NaN,NaN,NaN,NaN
63,NaN,NaN,NaN,NaN,NaN
64,118091.5342275426,NaN,NaN,64361.4461735794,2.6175538009
65,126647.8539153310,NaN,NaN,46808.8957599615,3410.1422709148
66,NaN,NaN,NaN,NaN,NaN
67,NaN,NaN,NaN,NaN,NaN
68,NaN,752.0251599796,72274.6962093799,NaN,NaN
69,54319.5190430075,131663.3833533133,35047.0877868445,60402.3992172348,133185.3244806752
70,NaN,NaN,NaN,NaN,NaN
71,NaN,NaN,NaN,NaN,NaN
72,114123.8028077418,NaN,NaN,75183.3195760892,1191.9575501738
73,NaN,NaN,NaN,NaN,NaN
74,NaN,14323.0252249404,3995.8754712182,68389.3690919179,NaN
75,22444.6464279858,NaN,NaN,NaN,83907.0926737344
76,NaN,NaN,NaN,NaN,NaN
77,44425.7583315164,136451.5902227653,14125.9188615322,38419.6588238216,103340.2878781596
78,NaN,NaN,NaN,NaN,NaN
79,NaN,36702.0950083257,NaN,74125.1492058269,NaN
80,NaN,NaN,NaN,NaN,NaN
81,58798.7614651006,121543.8236722561,6188.2134930563,34848.7687843330,113909.2801625176
82,131788.7391292070,NaN,NaN,NaN,1966.1658673078
83,102476.6873764569,82559.2726260113,9707.1357528834,56308.3366802584,NaN
84,NaN,NaN,NaN,NaN,NaN
85,49080.5669351886,NaN,56657.5291275540,83847.9213938168,104462.5335500045
86,NaN,NaN,NaN,NaN,NaN
87,NaN,NaN,NaN,NaN,NaN
88,NaN,NaN,NaN,NaN,NaN
89,NaN,62549.3499203031,25860.5519388579,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN
91,NaN,0.0000000000,NaN,NaN,NaN
92,108487.1235455700,117105.1954453575,66238.4401980178,10025.7503708229,80296.4206160794
93,NaN,NaN,NaN,NaN,NaN
94,NaN,NaN,NaN,NaN,NaN
95,92097.9244816725,113092.6943668711,45243.3690568635,4733.3333594253,86665.4861616697
96,NaN,NaN,NaN,NaN,NaN
97,NaN,NaN,NaN,NaN,NaN
98,NaN,NaN,NaN,NaN,NaN
