
============================================================
处理日期: 2022-12-19
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 808/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20221219.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20221219.csv

进度: 1.0101% (200/19800) [Region:90, Point:2847] 已用: 0.0s, 剩余: 0.3s
进度: 1.5152% (300/19800) [Region:38, Point:959] 已用: 0.0s, 剩余: 0.3s
进度: 2.0202% (400/19800) [Region:15, Point:2907] 已用: 0.0s, 剩余: 0.3s
进度: 2.5253% (500/19800) [Region:7, Point:2687] 已用: 0.0s, 剩余: 0.5s
进度: 3.0303% (600/19800) [Region:183, Point:3954] 已用: 0.0s, 剩余: 0.5s
进度: 3.5354% (700/19800) [Region:36, Point:2648] 已用: 0.0s, 剩余: 0.7s
进度: 4.0404% (800/19800) [Region:4, Point:126] 已用: 0.0s, 剩余: 0.8s
进度: 4.5455% (900/19800) [Region:53, Point:2714] 已用: 0.0s, 剩余: 0.8s
进度: 5.0505% (1000/19800) [Region:16, Point:1279] 已用: 0.0s, 剩余: 0.8s
进度: 5.5556% (1100/19800) [Region:90, Point:3353] 已用: 0.0s, 剩余: 0.8s
进度: 6.0606% (1200/19800) [Region:91, Point:2439] 已用: 0.1s, 剩余: 0.8s
进度: 6.5657% (1300/19800) [Region:183, Point:404] 已用: 0.1s, 剩余: 0.8s
进度: 7.0707% (1400/19800) [Region:91, Point:2487] 已用: 0.1s, 剩余: 0.8s
进度: 7.5758% (1500/19800) [Region:54, Point:3506] 已用: 0.1s, 剩余: 0.9s
进度: 8.0808% (1600/19800) [Region:1, Point:3057] 已用: 0.1s, 剩余: 0.9s
进度: 8.5859% (1700/19800) [Region:1, Point:3821] 已用: 0.1s, 剩余: 0.8s
进度: 9.0909% (1800/19800) [Region:38, Point:83] 已用: 0.1s, 剩余: 0.9s
进度: 9.5960% (1900/19800) [Region:8, Point:3740] 已用: 0.1s, 剩余: 0.9s
进度: 10.1010% (2000/19800) [Region:183, Point:180] 已用: 0.1s, 剩余: 0.9s
进度: 10.6061% (2100/19800) [Region:8, Point:2784] 已用: 0.1s, 剩余: 0.9s
进度: 11.1111% (2200/19800) [Region:39, Point:2763] 已用: 0.1s, 剩余: 0.9s
进度: 11.6162% (2300/19800) [Region:29, Point:1713] 已用: 0.1s, 剩余: 0.8s
进度: 12.1212% (2400/19800) [Region:37, Point:2349] 已用: 0.1s, 剩余: 0.9s
进度: 12.6263% (2500/19800) [Region:6, Point:2510] 已用: 0.1s, 剩余: 0.9s
进度: 13.6364% (2700/19800) [Region:132, Point:2497] 已用: 0.1s, 剩余: 0.9s
进度: 14.1414% (2800/19800) [Region:56, Point:2675] 已用: 0.2s, 剩余: 1.0s
进度: 14.6465% (2900/19800) [Region:44, Point:3750] 已用: 0.2s, 剩余: 1.0s
进度: 13.1313% (2600/19800) [Region:21, Point:2093] 已用: 0.2s, 剩余: 1.1s
进度: 15.1515% (3000/19800) [Region:41, Point:3358] 已用: 0.2s, 剩余: 1.0s
进度: 15.6566% (3100/19800) [Region:65, Point:3172] 已用: 0.2s, 剩余: 1.1s
进度: 16.1616% (3200/19800) [Region:16, Point:1326] 已用: 0.2s, 剩余: 1.1s
进度: 16.6667% (3300/19800) [Region:5, Point:1460] 已用: 0.2s, 剩余: 1.1s
进度: 17.1717% (3400/19800) [Region:52, Point:902] 已用: 0.2s, 剩余: 1.1s
进度: 17.6768% (3500/19800) [Region:52, Point:291] 已用: 0.2s, 剩余: 1.1s
进度: 18.1818% (3600/19800) [Region:52, Point:2404] 已用: 0.2s, 剩余: 1.1s
进度: 18.6869% (3700/19800) [Region:52, Point:1218] 已用: 0.3s, 剩余: 1.1s
进度: 19.1919% (3800/19800) [Region:10, Point:341] 已用: 0.3s, 剩余: 1.2s
进度: 19.6970% (3900/19800) [Region:88, Point:2321] 已用: 0.3s, 剩余: 1.2s
进度: 20.2020% (4000/19800) [Region:26, Point:359] 已用: 0.3s, 剩余: 1.2s
进度: 20.7071% (4100/19800) [Region:34, Point:1195] 已用: 0.3s, 剩余: 1.2s
进度: 21.2121% (4200/19800) [Region:26, Point:199] 已用: 0.3s, 剩余: 1.2s
进度: 22.2222% (4400/19800) [Region:116, Point:3958] 已用: 0.4s, 剩余: 1.3s
进度: 21.7172% (4300/19800) [Region:88, Point:844] 已用: 0.4s, 剩余: 1.3s
进度: 22.7273% (4500/19800) [Region:10, Point:222] 已用: 0.4s, 剩余: 1.3s
进度: 23.2323% (4600/19800) [Region:5, Point:3113] 已用: 0.4s, 剩余: 1.3s
进度: 24.2424% (4800/19800) [Region:5, Point:1442] 已用: 0.4s, 剩余: 1.3s
进度: 24.7475% (4900/19800) [Region:56, Point:713] 已用: 0.4s, 剩余: 1.3s
进度: 23.7374% (4700/19800) [Region:48, Point:2103] 已用: 0.4s, 剩余: 1.4s
进度: 25.2525% (5000/19800) [Region:117, Point:2845] 已用: 0.5s, 剩余: 1.3s
进度: 25.7576% (5100/19800) [Region:19, Point:1421] 已用: 0.5s, 剩余: 1.3s
进度: 26.2626% (5200/19800) [Region:32, Point:909] 已用: 0.5s, 剩余: 1.3s
进度: 26.7677% (5300/19800) [Region:20, Point:3822] 已用: 0.5s, 剩余: 1.3s
进度: 27.2727% (5400/19800) [Region:13, Point:2338] 已用: 0.5s, 剩余: 1.4s
进度: 27.7778% (5500/19800) [Region:113, Point:3676] 已用: 0.5s, 剩余: 1.4s
进度: 28.2828% (5600/19800) [Region:63, Point:529] 已用: 0.5s, 剩余: 1.4s
进度: 28.7879% (5700/19800) [Region:61, Point:1470] 已用: 0.5s, 剩余: 1.3s
进度: 29.2929% (5800/19800) [Region:63, Point:2950] 已用: 0.6s, 剩余: 1.3s
进度: 29.7980% (5900/19800) [Region:59, Point:3166] 已用: 0.6s, 剩余: 1.3s
进度: 30.3030% (6000/19800) [Region:114, Point:2922] 已用: 0.6s, 剩余: 1.3s
进度: 30.8081% (6100/19800) [Region:114, Point:2171] 已用: 0.6s, 剩余: 1.3s
进度: 31.3131% (6200/19800) [Region:22, Point:2559] 已用: 0.6s, 剩余: 1.3s
进度: 31.8182% (6300/19800) [Region:114, Point:2477] 已用: 0.6s, 剩余: 1.3s
进度: 32.3232% (6400/19800) [Region:63, Point:483] 已用: 0.7s, 剩余: 1.4s
进度: 32.8283% (6500/19800) [Region:12, Point:931] 已用: 0.7s, 剩余: 1.4s
进度: 33.3333% (6600/19800) [Region:20, Point:2778] 已用: 0.7s, 剩余: 1.4s
进度: 33.8384% (6700/19800) [Region:71, Point:3011] 已用: 0.7s, 剩余: 1.4s
进度: 34.3434% (6800/19800) [Region:112, Point:1270] 已用: 0.7s, 剩余: 1.4s
进度: 34.8485% (6900/19800) [Region:18, Point:2798] 已用: 0.7s, 剩余: 1.4s
进度: 35.3535% (7000/19800) [Region:24, Point:2969] 已用: 0.8s, 剩余: 1.4s
进度: 35.8586% (7100/19800) [Region:112, Point:1375] 已用: 0.8s, 剩余: 1.4s
进度: 36.3636% (7200/19800) [Region:121, Point:1977] 已用: 0.8s, 剩余: 1.4s
进度: 36.8687% (7300/19800) [Region:18, Point:2278] 已用: 0.8s, 剩余: 1.4s
进度: 37.3737% (7400/19800) [Region:18, Point:2841] 已用: 0.8s, 剩余: 1.4s
进度: 37.8788% (7500/19800) [Region:43, Point:3031] 已用: 0.9s, 剩余: 1.4s
进度: 38.3838% (7600/19800) [Region:68, Point:3197] 已用: 0.9s, 剩余: 1.4s
进度: 38.8889% (7700/19800) [Region:14, Point:1756] 已用: 0.9s, 剩余: 1.4s
进度: 39.3939% (7800/19800) [Region:73, Point:2550] 已用: 0.9s, 剩余: 1.4s
进度: 39.8990% (7900/19800) [Region:73, Point:3896] 已用: 0.9s, 剩余: 1.4s
进度: 40.4040% (8000/19800) [Region:104, Point:316] 已用: 0.9s, 剩余: 1.4s
进度: 40.9091% (8100/19800) [Region:48, Point:2234] 已用: 1.0s, 剩余: 1.4s
进度: 41.4141% (8200/19800) [Region:140, Point:1154] 已用: 1.0s, 剩余: 1.4s
进度: 41.9192% (8300/19800) [Region:122, Point:910] 已用: 1.0s, 剩余: 1.4s
进度: 42.4242% (8400/19800) [Region:74, Point:1370] 已用: 1.1s, 剩余: 1.5s
进度: 42.9293% (8500/19800) [Region:89, Point:2643] 已用: 1.1s, 剩余: 1.5s
进度: 43.4343% (8600/19800) [Region:148, Point:2541] 已用: 1.1s, 剩余: 1.4s
进度: 43.9394% (8700/19800) [Region:149, Point:3080] 已用: 1.1s, 剩余: 1.4s
进度: 44.4444% (8800/19800) [Region:149, Point:3620] 已用: 1.1s, 剩余: 1.4s
进度: 44.9495% (8900/19800) [Region:138, Point:763] 已用: 1.2s, 剩余: 1.4s
进度: 45.4545% (9000/19800) [Region:72, Point:3342] 已用: 1.2s, 剩余: 1.4s
进度: 45.9596% (9100/19800) [Region:138, Point:2959] 已用: 1.2s, 剩余: 1.4s
进度: 46.4646% (9200/19800) [Region:138, Point:579] 已用: 1.3s, 剩余: 1.4s
进度: 46.9697% (9300/19800) [Region:146, Point:2510] 已用: 1.3s, 剩余: 1.5s
进度: 47.4747% (9400/19800) [Region:143, Point:3613] 已用: 1.3s, 剩余: 1.5s
进度: 47.9798% (9500/19800) [Region:101, Point:1993] 已用: 1.3s, 剩余: 1.5s
进度: 48.4848% (9600/19800) [Region:87, Point:3576] 已用: 1.4s, 剩余: 1.4s
进度: 48.9899% (9700/19800) [Region:102, Point:3110] 已用: 1.4s, 剩余: 1.4s
进度: 49.4949% (9800/19800) [Region:139, Point:88] 已用: 1.4s, 剩余: 1.4s
进度: 50.5051% (10000/19800) [Region:96, Point:120] 已用: 1.4s, 剩余: 1.4s
进度: 50.0000% (9900/19800) [Region:139, Point:1054] 已用: 1.4s, 剩余: 1.4s
进度: 51.0101% (10100/19800) [Region:110, Point:990] 已用: 1.4s, 剩余: 1.3s
进度: 51.5152% (10200/19800) [Region:111, Point:784] 已用: 1.4s, 剩余: 1.3s
进度: 52.0202% (10300/19800) [Region:128, Point:462] 已用: 1.4s, 剩余: 1.3s
进度: 52.5253% (10400/19800) [Region:129, Point:2706] 已用: 1.4s, 剩余: 1.3s
进度: 53.0303% (10500/19800) [Region:130, Point:738] 已用: 1.4s, 剩余: 1.3s
