
============================================================
处理日期: 2023-05-02
============================================================
N=3988, K=200
使用 xi 向量过滤，可访问的点数: 965/3988
日志文件: output/travel_dist_dual_values_by_date/log_p200_20230502.txt
结果已保存到: output/travel_dist_dual_values_by_date/travel_dist_dual_values_p200_20230502.csv
进度: 1.0101% (200/19800) [Region:90, Point:2734] 已用: 0.0s, 剩余: 1.1s
进度: 1.5152% (300/19800) [Region:40, Point:3704] 已用: 0.0s, 剩余: 1.2s
进度: 2.0202% (400/19800) [Region:138, Point:651] 已用: 0.0s, 剩余: 1.3s
进度: 2.5253% (500/19800) [Region:182, Point:3525] 已用: 0.0s, 剩余: 1.3s
进度: 3.0303% (600/19800) [Region:182, Point:1727] 已用: 0.0s, 剩余: 1.2s
进度: 3.5354% (700/19800) [Region:182, Point:1445] 已用: 0.0s, 剩余: 1.3s
进度: 4.0404% (800/19800) [Region:65, Point:2945] 已用: 0.1s, 剩余: 1.3s
进度: 5.0505% (1000/19800) [Region:28, Point:3671] 已用: 0.1s, 剩余: 1.3s
进度: 4.5455% (900/19800) [Region:26, Point:2355] 已用: 0.1s, 剩余: 1.6s
进度: 5.5556% (1100/19800) [Region:6, Point:3752] 已用: 0.1s, 剩余: 1.4s
进度: 6.0606% (1200/19800) [Region:28, Point:3261] 已用: 0.1s, 剩余: 1.5s
进度: 6.5657% (1300/19800) [Region:29, Point:1417] 已用: 0.1s, 剩余: 1.4s
进度: 7.5758% (1500/19800) [Region:91, Point:2613] 已用: 0.1s, 剩余: 1.5s
进度: 8.0808% (1600/19800) [Region:10, Point:786] 已用: 0.1s, 剩余: 1.5s
进度: 8.5859% (1700/19800) [Region:91, Point:2297] 已用: 0.1s, 剩余: 1.5s
进度: 7.0707% (1400/19800) [Region:44, Point:3066] 已用: 0.1s, 剩余: 1.9s
进度: 9.0909% (1800/19800) [Region:44, Point:1453] 已用: 0.1s, 剩余: 1.5s
进度: 9.5960% (1900/19800) [Region:30, Point:3475] 已用: 0.2s, 剩余: 1.6s
进度: 10.1010% (2000/19800) [Region:31, Point:2410] 已用: 0.2s, 剩余: 1.8s
进度: 10.6061% (2100/19800) [Region:183, Point:1321] 已用: 0.2s, 剩余: 1.8s
进度: 11.1111% (2200/19800) [Region:39, Point:2465] 已用: 0.2s, 剩余: 1.9s
进度: 11.6162% (2300/19800) [Region:35, Point:2896] 已用: 0.3s, 剩余: 2.0s
进度: 12.1212% (2400/19800) [Region:36, Point:2533] 已用: 0.3s, 剩余: 2.0s
进度: 12.6263% (2500/19800) [Region:36, Point:412] 已用: 0.3s, 剩余: 2.0s
进度: 13.1313% (2600/19800) [Region:67, Point:1747] 已用: 0.3s, 剩余: 2.0s
进度: 13.6364% (2700/19800) [Region:34, Point:1047] 已用: 0.3s, 剩余: 2.0s
进度: 14.1414% (2800/19800) [Region:34, Point:1068] 已用: 0.3s, 剩余: 2.0s
进度: 14.6465% (2900/19800) [Region:67, Point:3542] 已用: 0.3s, 剩余: 1.9s
进度: 15.1515% (3000/19800) [Region:67, Point:2561] 已用: 0.3s, 剩余: 1.9s
进度: 15.6566% (3100/19800) [Region:141, Point:1578] 已用: 0.4s, 剩余: 1.9s
进度: 16.1616% (3200/19800) [Region:22, Point:1925] 已用: 0.4s, 剩余: 1.9s
进度: 16.6667% (3300/19800) [Region:48, Point:2121] 已用: 0.4s, 剩余: 2.0s
进度: 17.6768% (3500/19800) [Region:16, Point:1327] 已用: 0.4s, 剩余: 2.1s
进度: 18.1818% (3600/19800) [Region:138, Point:1381] 已用: 0.5s, 剩余: 2.1s
进度: 17.1717% (3400/19800) [Region:63, Point:482] 已用: 0.5s, 剩余: 2.4s
进度: 18.6869% (3700/19800) [Region:138, Point:1273] 已用: 0.5s, 剩余: 2.2s
进度: 19.1919% (3800/19800) [Region:42, Point:1219] 已用: 0.5s, 剩余: 2.2s
进度: 19.6970% (3900/19800) [Region:42, Point:167] 已用: 0.5s, 剩余: 2.2s
进度: 20.2020% (4000/19800) [Region:42, Point:868] 已用: 0.6s, 剩余: 2.2s
进度: 20.7071% (4100/19800) [Region:27, Point:3342] 已用: 0.6s, 剩余: 2.2s
进度: 21.2121% (4200/19800) [Region:13, Point:1645] 已用: 0.6s, 剩余: 2.2s
进度: 21.7172% (4300/19800) [Region:14, Point:1502] 已用: 0.6s, 剩余: 2.2s
进度: 22.7273% (4500/19800) [Region:23, Point:2893] 已用: 0.6s, 剩余: 2.2s
进度: 22.2222% (4400/19800) [Region:88, Point:1180] 已用: 0.7s, 剩余: 2.3s
进度: 23.2323% (4600/19800) [Region:140, Point:257] 已用: 0.7s, 剩余: 2.2s
进度: 24.2424% (4800/19800) [Region:87, Point:3589] 已用: 0.7s, 剩余: 2.2s
进度: 23.7374% (4700/19800) [Region:17, Point:519] 已用: 0.7s, 剩余: 2.2s
进度: 24.7475% (4900/19800) [Region:115, Point:259] 已用: 0.7s, 剩余: 2.2s
进度: 25.7576% (5100/19800) [Region:23, Point:1036] 已用: 0.8s, 剩余: 2.2s
进度: 26.2626% (5200/19800) [Region:24, Point:1620] 已用: 0.8s, 剩余: 2.2s
进度: 26.7677% (5300/19800) [Region:132, Point:2212] 已用: 0.8s, 剩余: 2.2s
进度: 27.2727% (5400/19800) [Region:44, Point:2566] 已用: 0.8s, 剩余: 2.2s
进度: 27.7778% (5500/19800) [Region:20, Point:1657] 已用: 0.8s, 剩余: 2.2s
进度: 25.2525% (5000/19800) [Region:25, Point:641] 已用: 0.8s, 剩余: 2.5s
进度: 28.2828% (5600/19800) [Region:128, Point:601] 已用: 0.8s, 剩余: 2.1s
进度: 28.7879% (5700/19800) [Region:149, Point:1375] 已用: 0.9s, 剩余: 2.1s
进度: 29.2929% (5800/19800) [Region:129, Point:2478] 已用: 0.9s, 剩余: 2.1s
进度: 29.7980% (5900/19800) [Region:129, Point:3735] 已用: 0.9s, 剩余: 2.1s
进度: 30.3030% (6000/19800) [Region:20, Point:1884] 已用: 0.9s, 剩余: 2.1s
进度: 30.8081% (6100/19800) [Region:104, Point:3432] 已用: 0.9s, 剩余: 2.1s
进度: 31.3131% (6200/19800) [Region:130, Point:901] 已用: 0.9s, 剩余: 2.0s
进度: 31.8182% (6300/19800) [Region:137, Point:1913] 已用: 0.9s, 剩余: 2.0s
进度: 32.3232% (6400/19800) [Region:130, Point:2801] 已用: 1.0s, 剩余: 2.0s
进度: 32.8283% (6500/19800) [Region:130, Point:3826] 已用: 1.0s, 剩余: 2.0s
进度: 33.3333% (6600/19800) [Region:32, Point:930] 已用: 1.0s, 剩余: 2.0s
进度: 33.8384% (6700/19800) [Region:146, Point:1774] 已用: 1.0s, 剩余: 2.0s
进度: 34.3434% (6800/19800) [Region:146, Point:3703] 已用: 1.0s, 剩余: 2.0s
进度: 34.8485% (6900/19800) [Region:63, Point:539] 已用: 1.1s, 剩余: 2.0s
进度: 35.3535% (7000/19800) [Region:96, Point:3553] 已用: 1.1s, 剩余: 2.0s
进度: 35.8586% (7100/19800) [Region:113, Point:3217] 已用: 1.1s, 剩余: 2.0s
进度: 36.3636% (7200/19800) [Region:113, Point:2647] 已用: 1.1s, 剩余: 1.9s
进度: 36.8687% (7300/19800) [Region:147, Point:2603] 已用: 1.1s, 剩余: 2.0s
进度: 37.3737% (7400/19800) [Region:133, Point:11] 已用: 1.2s, 剩余: 2.0s
进度: 37.8788% (7500/19800) [Region:147, Point:2234] 已用: 1.2s, 剩余: 2.0s
进度: 38.3838% (7600/19800) [Region:105, Point:2858] 已用: 1.2s, 剩余: 2.0s
进度: 38.8889% (7700/19800) [Region:139, Point:17] 已用: 1.3s, 剩余: 2.0s
进度: 39.3939% (7800/19800) [Region:101, Point:1783] 已用: 1.3s, 剩余: 2.0s
进度: 39.8990% (7900/19800) [Region:101, Point:1844] 已用: 1.3s, 剩余: 2.0s
进度: 40.4040% (8000/19800) [Region:102, Point:3301] 已用: 1.3s, 剩余: 1.9s
进度: 40.9091% (8100/19800) [Region:147, Point:2211] 已用: 1.3s, 剩余: 1.9s
进度: 41.4141% (8200/19800) [Region:18, Point:3689] 已用: 1.4s, 剩余: 1.9s
进度: 41.9192% (8300/19800) [Region:127, Point:2279] 已用: 1.4s, 剩余: 1.9s
进度: 42.4242% (8400/19800) [Region:110, Point:1272] 已用: 1.4s, 剩余: 1.9s
进度: 42.9293% (8500/19800) [Region:98, Point:1655] 已用: 1.4s, 剩余: 1.9s
