PointID,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29
0,Null,Null,Null,Null,Null,Null,Null,13421.1478058765,Null,Null,3677.1450524752,Null,Null,Null,Null,Null,Null,12760.9780991856,Null,Null,Null,Null,Null,3618.8140042054,Null,Null,Null,Null,Null,Null
1,Null,Null,Null,Null,Null,Null,Null,11130.9521077040,Null,Null,5403.5419064118,Null,Null,Null,Null,Null,Null,13206.0784404839,Null,Null,14470.4634616928,Null,Null,2637.8711122728,Null,Null,Null,Null,Null,Null
2,Null,Null,Null,Null,Null,Null,Null,14978.4267293661,Null,Null,1491.4688832130,Null,Null,Null,Null,Null,Null,15585.4193615842,Null,Null,Null,Null,Null,1991.8010244846,Null,Null,Null,Null,Null,Null
3,Null,Null,Null,Null,Null,Null,Null,16575.7603146707,Null,Null,4839.8695705717,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2505.8075047716,Null,Null,Null,9051.5073912514,Null,Null
4,Null,Null,Null,Null,Null,Null,Null,13223.7200256122,Null,Null,3487.8157204533,Null,Null,Null,Null,Null,Null,16295.2484781248,Null,Null,13040.5871248741,Null,Null,2352.5996726902,Null,Null,Null,Null,Null,Null
5,Null,Null,Null,Null,Null,Null,Null,13530.8173748927,Null,Null,4898.0064874998,Null,Null,Null,Null,Null,Null,Null,Null,Null,10892.8884568521,Null,Null,102.2746110697,Null,Null,Null,8999.9247369904,Null,Null
6,10070.3742267235,Null,Null,Null,Null,Null,Null,15259.8658374861,Null,Null,5644.2659685271,Null,Null,Null,Null,Null,Null,Null,Null,Null,10208.5869542393,Null,Null,284.7259242601,Null,Null,Null,7030.5761643360,Null,Null
7,8988.5140481935,Null,Null,Null,Null,Null,Null,17428.7185126928,Null,Null,5415.5133595703,Null,Null,Null,Null,Null,Null,Null,Null,Null,11348.2099123014,Null,Null,332.1037228947,Null,Null,Null,4947.5552823073,Null,Null
8,11061.7454938083,Null,Null,Null,Null,Null,Null,12092.8090423458,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,7175.3083184185,Null,Null,1662.9080471642,Null,Null,Null,Null,Null,Null
9,8973.7848101943,Null,Null,Null,Null,Null,Null,15526.4092609886,Null,Null,6867.6660714256,Null,Null,Null,Null,Null,Null,Null,Null,Null,9170.9442068237,Null,Null,542.3739642774,Null,Null,Null,6789.2229782961,Null,Null
10,Null,Null,Null,Null,Null,Null,Null,14943.3264236707,Null,Null,2011.8013293672,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,835.7168231909,Null,Null,Null,9150.5947148112,Null,Null
11,Null,Null,Null,Null,Null,Null,Null,14723.7999927832,Null,Null,4199.8543543042,Null,Null,Null,Null,Null,Null,11148.1177438940,Null,Null,Null,Null,Null,5899.2718322382,Null,Null,Null,Null,Null,Null
12,Null,Null,19855.9199083954,Null,Null,1238.1377349240,Null,Null,Null,Null,Null,Null,Null,Null,Null,356.7474376643,Null,Null,Null,Null,Null,Null,6819.1543743793,Null,Null,Null,Null,Null,Null,Null
13,7854.3937951259,Null,Null,Null,Null,Null,Null,17933.1291204705,Null,Null,6510.2915110183,Null,Null,Null,Null,Null,Null,Null,Null,Null,10709.0189647516,Null,Null,37.6802122700,Null,Null,Null,4399.9623481326,Null,Null
14,8368.9364453935,Null,Null,Null,Null,Null,Null,Null,Null,Null,8494.8741118907,12993.2317498871,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,6274.4839728656,Null,Null,Null,515.8360321109,11404.0543817725,Null
15,9890.0291028119,Null,Null,Null,Null,12635.0190865397,Null,Null,Null,13317.7217760975,Null,Null,Null,Null,Null,Null,Null,Null,14.9948737595,9664.3439268787,Null,Null,8323.6242971281,Null,Null,Null,Null,Null,Null,2667.0591436489
16,Null,Null,15496.3537039787,Null,Null,Null,2347.7697661950,Null,Null,Null,Null,Null,5522.9897854161,Null,Null,Null,Null,Null,11751.4136049627,1262.1671021416,Null,7163.1981323936,Null,Null,Null,Null,Null,Null,Null,Null
