PointID,Region_0,Region_1,Region_2,Region_3,Region_4
0,114444.6718960428,88973.4113214692,57.8814792584,84668.4672809398,190784.7105441352
1,NaN,NaN,NaN,NaN,NaN
2,212726.7554698421,13953.4226467154,18703.7565757238,115962.0250470451,261069.1034931547
3,NaN,NaN,NaN,NaN,NaN
4,208261.1378745338,2761.7813339811,42333.5310257888,79409.1240742191,227240.6483135156
5,NaN,NaN,NaN,NaN,NaN
6,2632.3832170872,254123.3941800442,122099.9083471371,110517.8357496719,79945.1678981107
7,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN
10,73524.3978850424,305611.7591925318,197326.8268499061,98616.3242373400,24832.2472527272
11,234824.9887398738,6.9920286646,52664.8694386790,111397.2637421500,259357.9206831484
12,NaN,NaN,NaN,NaN,NaN
13,NaN,NaN,NaN,NaN,NaN
14,128760.3820025975,80349.1106499754,41116.7130583816,393.3684557555,119104.6004686169
15,236971.8727291604,1039.6407581396,55933.7722356914,111577.6247786431,259956.1117229994
16,NaN,NaN,NaN,NaN,NaN
17,NaN,NaN,NaN,NaN,NaN
18,141250.9659227319,55317.6336845708,24437.9322220542,26575.7547923893,147336.2680845849
19,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN
21,178986.3788298727,8283.2288899010,4579.2458318835,72584.9312813421,218002.6448765088
22,27691.6837943365,160111.6275301574,26473.2160217617,69506.1177119500,117807.8386384087
23,76137.9996166978,208260.3982639992,118867.2769749062,6549.6467325836,5038.7401063734
24,95129.2525605809,86061.9255144530,14621.8727243899,23359.8135635986,136102.5636754515
25,195246.0089661965,3635.9212158486,9475.2105486132,92139.4138106304,237767.6217178523
26,NaN,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN,NaN
28,56316.4754086683,166346.5365060947,70237.8487844301,12316.0917450286,43654.0844199602
29,221004.9712078454,4595.7267928666,53925.1544798967,88943.7534248275,237742.8477570435
30,169212.4913105156,79192.1839020649,6899.0941314510,135061.4287961081,250368.7549012646
31,138244.5390735319,318915.9764557387,232151.1547736895,109893.1924405381,0.0000000000
32,NaN,NaN,NaN,NaN,NaN
33,NaN,NaN,NaN,NaN,NaN
34,163360.2413565658,66446.5667919866,6414.7287092452,120052.8836905276,240305.9357281215
35,NaN,NaN,NaN,NaN,NaN
36,99007.3671370934,204446.7021601325,128689.6925639836,36486.5894650992,7434.6058111793
37,NaN,NaN,NaN,NaN,NaN
38,NaN,NaN,NaN,NaN,NaN
39,142077.0864005955,125614.2262901860,95938.1974940797,0.0000000000,87781.9365325072
40,148464.0399184238,34339.5345171944,526.2759755839,43643.5067973795,185664.3353288803
41,NaN,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN
46,NaN,NaN,0.0000000000,NaN,NaN
47,4064.7194179278,272074.0954524974,139360.2036548750,129777.4344754232,92423.8482703547
48,201128.8429678135,31979.3014556328,76024.9537299791,43607.1499594424,186215.3310447696
49,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN
51,NaN,NaN,NaN,NaN,NaN
52,NaN,NaN,NaN,NaN,NaN
53,157020.5478720271,29181.9495231838,8327.6295598958,40084.9086327681,185839.3496475807
54,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN
56,184101.0627086686,32274.6160379965,570.2284091892,113253.0337115003,249719.0255987479
57,NaN,NaN,NaN,NaN,NaN
58,126553.0961278899,308346.7515488298,219683.9058245093,98512.4393154112,570.9798044240
59,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN
61,NaN,NaN,NaN,NaN,NaN
62,0.0000000000,NaN,NaN,NaN,NaN
63,NaN,NaN,NaN,NaN,NaN
64,118091.5342275426,272608.2432825624,189158.4411908546,64361.4461735794,2.6175538009
65,126647.8539153310,252769.8801812306,177500.6230465586,46808.8957599615,3410.1422709148
66,NaN,NaN,NaN,NaN,NaN
67,NaN,NaN,NaN,NaN,NaN
68,258574.0902155877,752.0251599796,72274.6962093799,132672.7762050895,281756.5278917176
69,54319.5190430075,131663.3833533133,35047.0877868445,60402.3992172348,133185.3244806752
70,NaN,NaN,NaN,NaN,NaN
71,NaN,NaN,NaN,NaN,NaN
72,114123.8028077418,285013.0005251676,197052.5913055055,75183.3195760892,1191.9575501738
73,NaN,NaN,NaN,NaN,NaN
74,171527.5253525781,14323.0252249404,3995.8754712182,68389.3690919179,212607.5414965569
75,22444.6464279858,296630.6607442258,165481.0598221874,137045.9237606173,83907.0926737344
76,NaN,NaN,NaN,NaN,NaN
