迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量
1,11.931609,2.018753,0.000000,13.950361
2,11.251304,6.797744,0.000000,18.049048
3,3.708132,9.437727,3.377497,16.523355
4,4.168592,15.815175,4.431835,24.415602
5,5.582952,12.069871,2.176937,19.829760
6,6.465072,13.284007,6.700438,26.449517
7,6.650526,19.751499,5.307180,31.709205
8,3.533039,5.969658,18.393576,27.896272
9,12.183425,4.072967,2.201789,18.458181
10,8.659750,15.512431,7.795501,31.967682
11,4.784139,6.635668,9.378070,20.797877
12,3.287758,2.548899,18.709892,24.546549
13,6.611237,26.068663,0.982567,33.662467
14,14.638219,5.622534,18.284547,38.545301
15,10.817855,11.346463,10.144077,32.308396
16,6.721379,6.151068,16.422106,29.294553
17,8.386703,10.270131,19.644981,38.301815
18,2.799289,27.152248,4.977893,34.929430
