迭代次数,区域0工作量,区域1工作量,区域2工作量,总工作量,区域0占比,区域1占比,区域2占比
1,1636.469835,4727.499851,2729.303999,9093.273685,0.1800,0.5199,0.3001
2,6962.982488,1700.873956,8034.622535,16698.478979,0.4170,0.1019,0.4812
3,3036.866938,11418.936326,3021.056888,17476.860152,0.1738,0.6534,0.1729
4,3134.191579,11665.559919,1668.754701,16468.506199,0.1903,0.7084,0.1013
5,3254.532327,1402.547195,9330.864739,13987.944262,0.2327,0.1003,0.6671
6,4030.598969,12870.102893,1668.754701,18569.456563,0.2171,0.6931,0.0899
7,704.246133,12709.857863,8416.677423,21830.781419,0.0323,0.5822,0.3855
8,4833.090829,2994.649457,8841.482114,16669.222400,0.2899,0.1797,0.5304
9,3791.312736,2613.371553,9747.909428,16152.593717,0.2347,0.1618,0.6035
10,1631.491745,7004.539397,10316.230087,18952.261230,0.0861,0.3696,0.5443
11,4462.413676,2675.324155,9328.341189,16466.079019,0.2710,0.1625,0.5665
12,1304.670246,2945.218083,16877.770264,21127.658593,0.0618,0.1394,0.7988
13,3552.487328,2238.039974,15858.655595,21649.182897,0.1641,0.1034,0.7325
14,2142.393302,18688.020628,2447.866754,23278.280683,0.0920,0.8028,0.1052
15,1631.491745,11656.586917,6793.813103,20081.891766,0.0812,0.5805,0.3383
16,8100.195942,10585.764284,859.811700,19545.771927,0.4144,0.5416,0.0440
17,2709.366100,6498.241774,10674.501269,19882.109142,0.1363,0.3268,0.5369
18,2142.393302,2569.886504,19695.682845,24407.962651,0.0878,0.1053,0.8069
19,2452.648091,6365.247052,13637.268710,22455.163853,0.1092,0.2835,0.6073
20,6118.734382,10177.355196,4454.976287,20751.065865,0.2949,0.4904,0.2147
21,2200.984406,5417.503226,13850.576570,21469.064202,0.1025,0.2523,0.6451
22,3266.464798,11163.693523,9962.252079,24392.410399,0.1339,0.4577,0.4084
23,2967.759972,14723.770815,1920.360998,19611.891785,0.1513,0.7508,0.0979
24,3768.482788,10817.195868,5068.566260,19654.244916,0.1917,0.5504,0.2579
25,4357.747321,10239.220031,11348.309046,25945.276398,0.1680,0.3946,0.4374
26,1987.617766,1765.501788,18264.999540,22018.119094,0.0903,0.0802,0.8295
27,3930.339127,11193.571752,5203.078896,20326.989775,0.1934,0.5507,0.2560
28,1852.885378,13410.382695,4844.000908,20107.268982,0.0922,0.6669,0.2409
29,2587.380480,21976.476995,1890.183859,26454.041334,0.0978,0.8307,0.0715
30,4927.896599,15427.695803,4674.123113,25029.715516,0.1969,0.6164,0.1867
31,5308.585005,2065.104981,14113.460449,21487.150436,0.2471,0.0961,0.6568
32,3593.260343,13214.326408,8511.931033,25319.517784,0.1419,0.5219,0.3362
33,2757.217327,3365.640507,18884.303496,25007.161330,0.1103,0.1346,0.7552
34,4866.776546,11087.089796,7959.495398,23913.361740,0.2035,0.4636,0.3328
35,6633.842442,9647.295382,3896.050425,20177.188249,0.3288,0.4781,0.1931
36,1928.011951,15355.719858,3377.502743,20661.234552,0.0933,0.7432,0.1635
37,2676.680720,16706.331323,8342.722595,27725.734638,0.0965,0.6026,0.3009
38,5079.495654,15370.095307,7313.764501,27763.355461,0.1830,0.5536,0.2634
39,3552.487328,20144.160534,2356.968860,26053.616721,0.1364,0.7732,0.0905
40,1223.483596,9761.276175,14840.772567,25825.532338,0.0474,0.3780,0.5747
41,4625.569011,1276.553262,18750.940699,24653.062971,0.1876,0.0518,0.7606
42,418.223603,23021.278522,2585.285079,26024.787203,0.0161,0.8846,0.0993
43,3236.110642,4120.389834,15967.144323,23323.644799,0.1387,0.1767,0.6846
44,5538.552031,18371.047843,1888.100437,25797.700311,0.2147,0.7121,0.0732
45,7637.803223,15982.495201,4248.625348,27868.923771,0.2741,0.5735,0.1525
46,958.411742,14182.273024,11377.664087,26518.348853,0.0361,0.5348,0.4290
47,4984.138622,16334.108900,5028.166421,26346.413943,0.1892,0.6200,0.1908
48,850.490909,4944.738987,19221.833936,25017.063832,0.0340,0.1977,0.7683
49,3383.668389,8289.886053,14356.116785,26029.671226,0.1300,0.3185,0.5515
50,2717.479690,21690.328823,829.634561,25237.443074,0.1077,0.8595,0.0329
51,5254.067189,9142.513859,6191.206713,20587.787761,0.2552,0.4441,0.3007
52,5060.737988,12601.163801,9264.492453,26926.394243,0.1879,0.4680,0.3441
53,3661.123563,13729.404672,9440.388258,26830.916493,0.1365,0.5117,0.3518
54,2084.036600,19079.697241,5948.655088,27112.388930,0.0769,0.7037,0.2194
55,266.933461,12034.610114,18677.084286,30978.627861,0.0086,0.3885,0.6029
56,4651.481410,12030.828608,7170.875010,23853.185028,0.1950,0.5044,0.3006
57,5151.708052,20476.013701,972.618692,26600.340444,0.1937,0.7698,0.0366
58,7063.442629,3479.899314,17481.397288,28024.739231,0.2520,0.1242,0.6238
59,5070.964525,9643.397112,11922.535493,26636.897130,0.1904,0.3620,0.4476
60,2332.861559,3371.249248,12159.581974,17863.692781,0.1306,0.1887,0.6807
61,4288.224027,2899.402797,14251.104953,21438.731776,0.2000,0.1352,0.6647
62,2436.343033,17901.965626,6150.843491,26489.152149,0.0920,0.6758,0.2322
63,5494.774338,14954.654072,7221.495852,27670.924262,0.1986,0.5404,0.2610
64,6558.069683,4666.360046,15289.138909,26513.568638,0.2473,0.1760,0.5767
65,4193.049010,19593.047163,6430.647356,30216.743529,0.1388,0.6484,0.2128
66,2400.948910,6092.510500,14946.430078,23439.889488,0.1024,0.2599,0.6376
67,3195.918183,4711.279954,22184.323381,30091.521519,0.1062,0.1566,0.7372
68,2639.746726,6209.659483,11163.485660,20012.891868,0.1319,0.3103,0.5578
69,6217.252627,20650.313454,1566.382989,28433.949069,0.2187,0.7263,0.0551
70,4138.686171,16887.233657,7605.517389,28631.437217,0.1446,0.5898,0.2656
71,2610.972551,7663.203724,18153.245868,28427.422144,0.0918,0.2696,0.6386
72,3818.644227,16829.717337,5185.914912,25834.276476,0.1478,0.6514,0.2007
73,4265.678442,18274.279169,7438.757944,29978.715555,0.1423,0.6096,0.2481
74,5238.899385,9291.695501,12262.084163,26792.679049,0.1955,0.3468,0.4577
75,2407.534777,2534.674801,20663.007746,25605.217325,0.0940,0.0990,0.8070
76,1450.915022,16708.256901,13503.093215,31662.265137,0.0458,0.5277,0.4265
77,2635.290012,20220.079926,4484.448048,27339.817986,0.0964,0.7396,0.1640
78,5139.474997,2999.431722,16458.429950,24597.336670,0.2089,0.1219,0.6691
79,2485.420068,18689.975148,12028.968383,33204.363599,0.0749,0.5629,0.3623
80,2802.147844,4631.409589,11586.465107,19020.022540,0.1473,0.2435,0.6092
81,4842.484909,18226.281895,4688.032338,27756.799141,0.1745,0.6566,0.1689
82,1263.676054,808.210840,26057.634915,28129.521809,0.0449,0.0287,0.9263
83,2557.684148,13357.052231,3247.539996,19162.276375,0.1335,0.6970,0.1695
84,3311.237215,13755.680414,10571.284749,27638.202377,0.1198,0.4977,0.3825
85,7680.259148,22337.909414,1668.754701,31686.923264,0.2424,0.7050,0.0527
86,756.259892,18155.584721,11756.725760,30668.570373,0.0247,0.5920,0.3833
87,2835.906836,14321.092373,8762.381859,25919.381068,0.1094,0.5525,0.3381
88,4988.503834,11953.617557,10311.828356,27253.949747,0.1830,0.4386,0.3784
89,2738.621397,15638.146849,11228.669174,29605.437420,0.0925,0.5282,0.3793
90,3948.508726,12117.720342,14411.011038,30477.240106,0.1296,0.3976,0.4728
91,10434.948745,794.789549,15288.316812,26518.055106,0.3935,0.0300,0.5765
92,4777.168066,20478.110250,6344.174625,31599.452941,0.1512,0.6481,0.2008
93,5020.307533,11289.817754,13762.354991,30072.480277,0.1669,0.3754,0.4576
94,4422.074877,17919.032820,3250.751386,25591.859083,0.1728,0.7002,0.1270
95,6567.991594,11427.891954,9974.412429,27970.295976,0.2348,0.4086,0.3566
96,2715.702389,2427.160096,23612.194042,28755.056528,0.0944,0.0844,0.8211
97,2394.056988,23757.873667,3992.799757,30144.730411,0.0794,0.7881,0.1325
98,4890.045594,17285.038487,6866.104465,29041.188546,0.1684,0.5952,0.2364
99,1868.690896,10968.349204,18432.806591,31269.846691,0.0598,0.3508,0.5895
100,6035.031076,6199.570709,14468.625268,26703.227053,0.2260,0.2322,0.5418
101,3606.660617,20326.396632,3601.976920,27535.034170,0.1310,0.7382,0.1308
102,2226.461788,21872.227099,8047.987513,32146.676399,0.0693,0.6804,0.2504
103,3294.752343,16797.175657,13783.705386,33875.633386,0.0973,0.4958,0.4069
104,5661.162102,9952.912100,11895.873014,27509.947216,0.2058,0.3618,0.4324
105,4020.680720,15537.649205,10309.827284,29868.157209,0.1346,0.5202,0.3452
106,7924.151614,23277.638242,1464.727693,32666.517550,0.2426,0.7126,0.0448
107,5426.262197,21243.303486,4065.286524,30734.852208,0.1766,0.6912,0.1323
108,5780.944977,14023.683832,11424.312028,31228.940838,0.1851,0.4491,0.3658
109,1652.574051,24996.669803,7652.282844,34301.526698,0.0482,0.7287,0.2231
110,5267.775961,17908.269433,5461.540284,28637.585677,0.1839,0.6253,0.1907
111,2582.587809,3256.298817,25994.961280,31833.847906,0.0811,0.1023,0.8166
112,5609.296785,18971.389357,3980.786305,28561.472448,0.1964,0.6642,0.1394
113,3115.864622,4543.079247,15592.557482,23251.501351,0.1340,0.1954,0.6706
114,1374.773737,22658.479750,3436.541283,27469.794771,0.0500,0.8249,0.1251
115,7274.827533,13776.208889,7485.524897,28536.561320,0.2549,0.4828,0.2623
116,5806.052448,15247.295956,2094.724160,23148.072565,0.2508,0.6587,0.0905
117,8422.391716,16544.541299,4333.589795,29300.522811,0.2874,0.5647,0.1479
118,7237.707443,10547.698617,9478.505297,27263.911357,0.2655,0.3869,0.3477
119,6735.787052,19618.276743,5480.837556,31834.901350,0.2116,0.6163,0.1722
120,2078.696219,16370.495839,9209.819189,27659.011248,0.0752,0.5919,0.3330
121,5013.090033,2848.342847,21374.885724,29236.318604,0.1715,0.0974,0.7311
122,4257.081829,13352.787624,8292.865495,25902.734948,0.1643,0.5155,0.3202
123,1179.752789,19878.168925,9223.063155,30280.984869,0.0390,0.6565,0.3046
124,3170.747843,18636.455519,3719.442695,25526.646056,0.1242,0.7301,0.1457
125,6540.555478,13168.173276,10385.472462,30094.201217,0.2173,0.4376,0.3451
126,3917.666516,15263.083414,15913.227627,35093.977557,0.1116,0.4349,0.4534
127,2549.801409,6219.651614,16099.075379,24868.528402,0.1025,0.2501,0.6474
128,6639.933801,3426.371127,15476.583405,25542.888332,0.2600,0.1341,0.6059
129,2875.237514,8719.649254,16297.207971,27892.094739,0.1031,0.3126,0.5843
130,5543.507172,9421.417700,13776.198647,28741.123520,0.1929,0.3278,0.4793
131,4307.690090,18355.606704,5845.850294,28509.147089,0.1511,0.6438,0.2051
132,3372.521087,14519.195077,8565.849925,26457.566089,0.1275,0.5488,0.3238
133,4737.225329,19926.673968,11917.213360,36581.112657,0.1295,0.5447,0.3258
134,3310.724350,2638.401751,26596.215022,32545.341123,0.1017,0.0811,0.8172
135,4896.276759,2304.562673,17258.993405,24459.832836,0.2002,0.0942,0.7056
136,3533.258183,15132.646103,16829.894768,35495.799054,0.0995,0.4263,0.4741
137,6006.975299,23456.359915,2843.626829,32306.962043,0.1859,0.7260,0.0880
138,5729.017508,18672.126832,5594.069725,29995.214065,0.1910,0.6225,0.1865
139,3386.496916,3906.136046,19085.177064,26377.810026,0.1284,0.1481,0.7235
140,4305.870900,14484.584580,10701.521603,29491.977083,0.1460,0.4911,0.3629
141,7787.645564,4397.358716,17343.182705,29528.186984,0.2637,0.1489,0.5873
142,4962.012636,18321.380403,5362.827523,28646.220561,0.1732,0.6396,0.1872
143,2917.921520,17175.415891,10960.663665,31054.001075,0.0940,0.5531,0.3530
144,2561.280373,14359.517457,11280.117692,28200.915522,0.0908,0.5092,0.4000
145,6901.984024,12631.691245,6632.642466,26166.317735,0.2638,0.4827,0.2535
146,4079.771450,13699.289945,1698.450215,19477.511611,0.2095,0.7033,0.0872
147,5546.216092,16911.968053,6805.797515,29263.981661,0.1895,0.5779,0.2326
148,6196.115994,15508.481963,12497.301978,34201.899934,0.1812,0.4534,0.3654
149,5091.008041,25515.455636,2651.322309,33257.785986,0.1531,0.7672,0.0797
150,3268.480602,13022.133575,13955.952354,30246.566532,0.1081,0.4305,0.4614
151,3281.686044,12428.088691,5424.353550,21134.128285,0.1553,0.5881,0.2567
152,5705.798477,17351.384196,7274.879225,30332.061898,0.1881,0.5720,0.2398
153,4304.098043,22272.649872,7225.083974,33801.831889,0.1273,0.6589,0.2137
154,4644.345691,18860.282481,4953.987350,28458.615522,0.1632,0.6627,0.1741
155,6674.175278,18824.530077,4207.162246,29705.867601,0.2247,0.6337,0.1416
156,5221.477015,2247.480699,18353.744852,25822.702566,0.2022,0.0870,0.7108
157,4353.297528,20146.174724,3765.845921,28265.318173,0.1540,0.7128,0.1332
158,888.557371,11218.633671,21014.103099,33121.294141,0.0268,0.3387,0.6345
159,7356.157390,2927.016468,19365.261173,29648.435031,0.2481,0.0987,0.6532
160,6687.845886,21170.260275,6049.008369,33907.114529,0.1972,0.6244,0.1784
161,1882.502811,20382.742106,7416.548435,29681.793352,0.0634,0.6867,0.2499
162,6323.907697,2217.210975,21585.099930,30126.218601,0.2099,0.0736,0.7165
163,4706.185308,17033.616568,10422.176622,32161.978497,0.1463,0.5296,0.3241
164,3961.618001,12400.518959,11392.668771,27754.805731,0.1427,0.4468,0.4105
165,11532.326896,6817.146578,11283.544610,29633.018084,0.3892,0.2301,0.3808
166,3995.589657,16815.367076,10866.141149,31677.097882,0.1261,0.5308,0.3430
167,2878.572078,6266.861433,18933.381177,28078.814688,0.1025,0.2232,0.6743
168,2282.884904,5418.572806,22010.386718,29711.844428,0.0768,0.1824,0.7408
169,3526.011895,14683.848273,10850.694686,29060.554854,0.1213,0.5053,0.3734
170,4733.850896,17136.072525,6240.805761,28110.729182,0.1684,0.6096,0.2220
171,7936.462847,9941.086251,11981.344560,29858.893658,0.2658,0.3329,0.4013
172,4519.025345,14049.187551,14068.734968,32636.947864,0.1385,0.4305,0.4311
173,3233.654537,12508.990492,18506.937738,34249.582767,0.0944,0.3652,0.5404
174,4438.903640,5978.818156,20427.191273,30844.913068,0.1439,0.1938,0.6623
175,4047.959463,13647.241987,3240.086675,20935.288125,0.1934,0.6519,0.1548
176,6017.273640,18436.489090,11570.351545,36024.114275,0.1670,0.5118,0.3212
177,3929.599773,21334.803939,3696.594562,28960.998274,0.1357,0.7367,0.1276
178,6032.020589,13171.693599,16172.815196,35376.529384,0.1705,0.3723,0.4572
179,3911.148464,26612.888605,3435.556277,33959.593345,0.1152,0.7837,0.1012
180,6385.592282,18651.220857,6753.495386,31790.308525,0.2009,0.5867,0.2124
181,3042.931741,16760.572105,10943.564592,30747.068438,0.0990,0.5451,0.3559
182,4380.394752,18731.424231,4304.648801,27416.467784,0.1598,0.6832,0.1570
183,3604.890367,16926.422811,16383.769987,36915.083165,0.0977,0.4585,0.4438
184,4184.594894,4023.073678,18039.537502,26247.206074,0.1594,0.1533,0.6873
185,4074.029686,6504.085709,14246.782146,24824.897541,0.1641,0.2620,0.5739
186,4635.990961,4255.836337,18053.237676,26945.064974,0.1721,0.1579,0.6700
187,3280.953612,18348.760503,5531.575500,27161.289615,0.1208,0.6755,0.2037
