前 10 个最慢区域对应的中心点序号
======================================================================
排名     区域编号         中心点序号           经度                 纬度                
----------------------------------------------------------------------
1      107          767             113.8924880893     22.5536625795     
2      32           3731            113.8424910984     22.6089520669     
3      69           993             114.0820437295     22.5324905627     
4      57           1               113.7428492189     23.0193392455     
5      46           549             114.0695912768     22.6223646334     
6      9            2169            113.3289405403     23.0885882906     
7      186          1924            113.3878657804     22.9477129758     
8      125          1950            113.3896840488     23.0602696311     
9      123          2108            113.3797149305     23.1397287585     
10     189          470             113.9310218492     22.5231540865     
