InstanceName,NumUnits,NumRegions,RSD,r,gamma,Scenarios,UseScenarioGeneration,Runtime(s),Objective,OutOfSamplePerformance
2DU100-05-13.dat,100,6,0.125,0.1,0.3,500,True,0.382,7159.3917,0.75
2DU100-05-13.dat,100,6,0.125,0.1,0.3,1000,True,0.466,7159.3917,0.75
2DU100-05-13.dat,100,6,0.125,0.1,0.3,5000,True,0.406,7159.3917,0.75
2DU100-05-13.dat,100,6,0.125,0.1,0.2,500,True,0.406,7159.3917,0.75
2DU100-05-13.dat,100,6,0.125,0.1,0.2,1000,True,0.456,7159.3917,0.75
2DU100-05-13.dat,100,6,0.125,0.1,0.2,5000,True,0.399,7159.3917,0.75
2DU100-05-13.dat,100,6,0.125,0.1,0.1,500,True,0.497,7226.9636,0.995
2DU100-05-13.dat,100,6,0.125,0.1,0.1,1000,True,0.69,7226.9636,0.995
2DU100-05-13.dat,100,6,0.125,0.1,0.1,5000,True,0.526,7226.9636,0.995
2DU100-05-13.dat,100,6,0.125,0.2,0.3,500,True,0.225,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.3,1000,True,0.365,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.3,5000,True,0.625,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.2,500,True,0.548,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.2,1000,True,0.326,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.2,5000,True,0.443,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.1,500,True,0.31,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.1,1000,True,0.401,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.2,0.1,5000,True,0.278,7127.4643,0.979
2DU100-05-13.dat,100,6,0.125,0.3,0.3,500,True,0.241,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.3,1000,True,0.516,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.3,5000,True,0.533,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.2,500,True,0.546,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.2,1000,True,0.214,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.2,5000,True,0.288,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.1,500,True,0.282,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.1,1000,True,0.267,7055.5091,0.91
2DU100-05-13.dat,100,6,0.125,0.3,0.1,5000,True,0.236,7055.5091,0.91
2DU100-05-13.dat,100,6,0.25,0.1,0.3,500,True,0.397,7261.4626,0.682
2DU100-05-13.dat,100,6,0.25,0.1,0.3,1000,True,0.977,7226.9636,0.681
2DU100-05-13.dat,100,6,0.25,0.1,0.3,5000,True,0.931,7336.4292,0.685
2DU100-05-13.dat,100,6,0.25,0.1,0.2,500,True,0.781,7487.1914,0.696
2DU100-05-13.dat,100,6,0.25,0.1,0.2,1000,True,1910.342,7831.5722,0.685
2DU100-05-13.dat,100,6,0.25,0.1,0.2,5000,True,600.233,-1.0,0.671
2DU100-05-13.dat,100,6,0.25,0.1,0.1,500,True,600.21,-1.0,0.685
2DU100-05-13.dat,100,6,0.25,0.1,0.1,1000,True,600.209,-1.0,0.665
2DU100-05-13.dat,100,6,0.25,0.1,0.1,5000,True,600.218,-1.0,0.671
2DU100-05-13.dat,100,6,0.25,0.2,0.3,500,True,0.187,7111.9729,0.691
2DU100-05-13.dat,100,6,0.25,0.2,0.3,1000,True,0.23,7159.3917,0.979
2DU100-05-13.dat,100,6,0.25,0.2,0.3,5000,True,0.243,7121.2758,0.82
2DU100-05-13.dat,100,6,0.25,0.2,0.2,500,True,0.301,7170.806,0.957
2DU100-05-13.dat,100,6,0.25,0.2,0.2,1000,True,0.226,7159.3917,0.979
2DU100-05-13.dat,100,6,0.25,0.2,0.2,5000,True,0.286,7121.2758,0.82
2DU100-05-13.dat,100,6,0.25,0.2,0.1,500,True,0.344,7159.3917,0.979
2DU100-05-13.dat,100,6,0.25,0.2,0.1,1000,True,0.224,7159.3917,0.979
2DU100-05-13.dat,100,6,0.25,0.2,0.1,5000,True,0.319,7159.3917,0.979
2DU100-05-13.dat,100,6,0.25,0.3,0.3,500,True,0.165,7055.5091,0.736
2DU100-05-13.dat,100,6,0.25,0.3,0.3,1000,True,0.202,7055.5091,0.736
2DU100-05-13.dat,100,6,0.25,0.3,0.3,5000,True,0.205,7055.5091,0.736
2DU100-05-13.dat,100,6,0.25,0.3,0.2,500,True,0.186,7055.5091,0.736
2DU100-05-13.dat,100,6,0.25,0.3,0.2,1000,True,0.195,7055.5091,0.736
2DU100-05-13.dat,100,6,0.25,0.3,0.2,5000,True,0.204,7055.5091,0.736
2DU100-05-13.dat,100,6,0.25,0.3,0.1,500,True,0.214,7065.3976,0.952
2DU100-05-13.dat,100,6,0.25,0.3,0.1,1000,True,0.208,7065.3976,0.952
2DU100-05-13.dat,100,6,0.25,0.3,0.1,5000,True,0.234,7056.4355,0.904
2DU100-05-13.dat,100,6,0.5,0.1,0.3,500,True,600.265,-1.0,0.141
2DU100-05-13.dat,100,6,0.5,0.1,0.3,1000,True,600.378,-1.0,0.17
2DU100-05-13.dat,100,6,0.5,0.1,0.3,5000,True,600.391,-1.0,0.142
2DU100-05-13.dat,100,6,0.5,0.1,0.2,500,True,600.305,-1.0,0.141
2DU100-05-13.dat,100,6,0.5,0.1,0.2,1000,True,600.475,-1.0,0.17
2DU100-05-13.dat,100,6,0.5,0.1,0.2,5000,True,600.369,-1.0,0.142
2DU100-05-13.dat,100,6,0.5,0.1,0.1,500,True,600.293,-1.0,0.141
2DU100-05-13.dat,100,6,0.5,0.1,0.1,1000,True,600.448,-1.0,0.17
2DU100-05-13.dat,100,6,0.5,0.1,0.1,5000,True,600.376,-1.0,0.142
2DU100-05-13.dat,100,6,0.5,0.2,0.3,500,True,0.53,7216.307,0.632
2DU100-05-13.dat,100,6,0.5,0.2,0.3,1000,True,0.346,7240.6603,0.577
2DU100-05-13.dat,100,6,0.5,0.2,0.3,5000,True,1.987,7063.3152,0.683
2DU100-05-13.dat,100,6,0.5,0.2,0.2,500,True,7.118,7072.4879,0.726
2DU100-05-13.dat,100,6,0.5,0.2,0.2,1000,True,0.989,7441.1551,0.751
2DU100-05-13.dat,100,6,0.5,0.2,0.2,5000,True,101.002,7835.2212,0.639
2DU100-05-13.dat,100,6,0.5,0.2,0.1,500,True,600.284,-1.0,0.767
2DU100-05-13.dat,100,6,0.5,0.2,0.1,1000,True,600.273,-1.0,0.718
2DU100-05-13.dat,100,6,0.5,0.2,0.1,5000,True,600.309,-1.0,0.763
2DU100-05-13.dat,100,6,0.5,0.3,0.3,500,True,0.403,7305.7169,0.891
2DU100-05-13.dat,100,6,0.5,0.3,0.3,1000,True,0.321,7065.3976,0.706
2DU100-05-13.dat,100,6,0.5,0.3,0.3,5000,True,0.363,7077.4448,0.681
2DU100-05-13.dat,100,6,0.5,0.3,0.2,500,True,0.294,7170.806,0.926
2DU100-05-13.dat,100,6,0.5,0.3,0.2,1000,True,0.351,7111.9729,0.814
2DU100-05-13.dat,100,6,0.5,0.3,0.2,5000,True,0.51,7100.223,0.819
2DU100-05-13.dat,100,6,0.5,0.3,0.1,500,True,0.345,7168.7639,0.898
2DU100-05-13.dat,100,6,0.5,0.3,0.1,1000,True,0.419,7259.4863,0.889
2DU100-05-13.dat,100,6,0.5,0.3,0.1,5000,True,0.64,7171.3718,0.892
2DU100-05-11.dat,100,6,0.125,0.1,0.3,500,True,0.263,6756.3435,0.521
2DU100-05-11.dat,100,6,0.125,0.1,0.3,1000,True,0.204,6756.3435,0.521
2DU100-05-11.dat,100,6,0.125,0.1,0.3,5000,True,0.252,6756.3435,0.521
2DU100-05-11.dat,100,6,0.125,0.1,0.2,500,True,0.273,6764.1222,0.746
2DU100-05-11.dat,100,6,0.125,0.1,0.2,1000,True,0.232,6764.1222,0.746
2DU100-05-11.dat,100,6,0.125,0.1,0.2,5000,True,0.305,6820.9678,0.722
2DU100-05-11.dat,100,6,0.125,0.1,0.1,500,True,0.297,6828.7464,0.987
2DU100-05-11.dat,100,6,0.125,0.1,0.1,1000,True,0.295,6828.7464,0.987
2DU100-05-11.dat,100,6,0.125,0.1,0.1,5000,True,0.362,6828.7464,0.987
2DU100-05-11.dat,100,6,0.125,0.2,0.3,500,True,0.243,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.3,1000,True,0.259,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.3,5000,True,0.297,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.2,500,True,0.248,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.2,1000,True,0.233,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.2,5000,True,0.256,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.1,500,True,0.231,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.1,1000,True,0.232,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.2,0.1,5000,True,0.269,6719.4154,0.969
2DU100-05-11.dat,100,6,0.125,0.3,0.3,500,True,0.257,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.3,1000,True,0.214,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.3,5000,True,0.258,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.2,500,True,0.237,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.2,1000,True,0.216,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.2,5000,True,0.25,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.1,500,True,0.255,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.1,1000,True,0.217,6688.9318,0.889
2DU100-05-11.dat,100,6,0.125,0.3,0.1,5000,True,0.25,6688.9318,0.889
2DU100-05-11.dat,100,6,0.25,0.1,0.3,500,True,1.236,6850.5753,0.479
2DU100-05-11.dat,100,6,0.25,0.1,0.3,1000,True,0.578,6846.0181,0.695
2DU100-05-11.dat,100,6,0.25,0.1,0.3,5000,True,2.036,6897.9194,0.614
2DU100-05-11.dat,100,6,0.25,0.1,0.2,500,True,17.389,7220.81,0.688
2DU100-05-11.dat,100,6,0.25,0.1,0.2,1000,True,289.083,7212.5411,0.668
2DU100-05-11.dat,100,6,0.25,0.1,0.2,5000,True,600.313,-1.0,0.698
2DU100-05-11.dat,100,6,0.25,0.1,0.1,500,True,600.281,-1.0,0.71
2DU100-05-11.dat,100,6,0.25,0.1,0.1,1000,True,600.229,-1.0,0.697
2DU100-05-11.dat,100,6,0.25,0.1,0.1,5000,True,600.303,-1.0,0.698
2DU100-05-11.dat,100,6,0.25,0.2,0.3,500,True,0.257,6719.4154,0.825
2DU100-05-11.dat,100,6,0.25,0.2,0.3,1000,True,0.233,6719.4154,0.825
2DU100-05-11.dat,100,6,0.25,0.2,0.3,5000,True,0.316,6719.4154,0.825
2DU100-05-11.dat,100,6,0.25,0.2,0.2,500,True,0.248,6719.4154,0.825
2DU100-05-11.dat,100,6,0.25,0.2,0.2,1000,True,0.21,6719.4154,0.825
2DU100-05-11.dat,100,6,0.25,0.2,0.2,5000,True,0.296,6719.4154,0.825
2DU100-05-11.dat,100,6,0.25,0.2,0.1,500,True,0.247,6756.3435,0.953
2DU100-05-11.dat,100,6,0.25,0.2,0.1,1000,True,0.236,6756.3435,0.953
2DU100-05-11.dat,100,6,0.25,0.2,0.1,5000,True,0.333,6759.415,0.953
2DU100-05-11.dat,100,6,0.25,0.3,0.3,500,True,0.236,6688.9318,0.741
2DU100-05-11.dat,100,6,0.25,0.3,0.3,1000,True,0.218,6688.9318,0.741
2DU100-05-11.dat,100,6,0.25,0.3,0.3,5000,True,0.289,6688.9318,0.741
2DU100-05-11.dat,100,6,0.25,0.3,0.2,500,True,0.26,6688.9318,0.741
2DU100-05-11.dat,100,6,0.25,0.3,0.2,1000,True,0.218,6688.9318,0.741
2DU100-05-11.dat,100,6,0.25,0.3,0.2,5000,True,0.284,6688.9318,0.741
2DU100-05-11.dat,100,6,0.25,0.3,0.1,500,True,0.251,6689.4516,0.94
2DU100-05-11.dat,100,6,0.25,0.3,0.1,1000,True,0.262,6689.4516,0.94
2DU100-05-11.dat,100,6,0.25,0.3,0.1,5000,True,0.311,6689.4516,0.94
2DU100-05-11.dat,100,6,0.5,0.1,0.3,500,True,600.34,-1.0,0.129
2DU100-05-11.dat,100,6,0.5,0.1,0.3,1000,True,600.308,-1.0,0.172
2DU100-05-11.dat,100,6,0.5,0.1,0.3,5000,True,600.306,-1.0,0.183
2DU100-05-11.dat,100,6,0.5,0.1,0.2,500,True,600.332,-1.0,0.129
2DU100-05-11.dat,100,6,0.5,0.1,0.2,1000,True,600.329,-1.0,0.172
2DU100-05-11.dat,100,6,0.5,0.1,0.2,5000,True,600.305,-1.0,0.183
2DU100-05-11.dat,100,6,0.5,0.1,0.1,500,True,600.328,-1.0,0.129
2DU100-05-11.dat,100,6,0.5,0.1,0.1,1000,True,600.284,-1.0,0.172
2DU100-05-11.dat,100,6,0.5,0.1,0.1,5000,True,600.295,-1.0,0.183
2DU100-05-11.dat,100,6,0.5,0.2,0.3,500,True,3.098,6986.734,0.628
2DU100-05-11.dat,100,6,0.5,0.2,0.3,1000,True,0.44,6835.8655,0.731
2DU100-05-11.dat,100,6,0.5,0.2,0.3,5000,True,1.331,6869.7848,0.653
2DU100-05-11.dat,100,6,0.5,0.2,0.2,500,True,852.888,7433.7448,0.671
2DU100-05-11.dat,100,6,0.5,0.2,0.2,1000,True,0.408,6926.4186,0.723
2DU120-05-1.dat,120,7,0.125,0.1,0.3,500,True,1.668,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.3,1000,True,0.822,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.3,5000,True,0.683,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.2,500,True,0.675,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.2,1000,True,0.71,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.2,5000,True,0.671,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.1,500,True,0.709,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.1,1000,True,0.726,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.1,0.1,5000,True,0.62,7559.6181,0.899
2DU120-05-1.dat,120,7,0.125,0.2,0.3,500,True,0.589,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.2,0.3,1000,True,0.717,7504.2396,0.871
2DU120-05-1.dat,120,7,0.125,0.2,0.3,5000,True,0.68,7504.2396,0.871
